epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.2471,1.88554,3.97433,1.3005,0.4933,0.13568,0.07764,0.03741,1.7156,3.03702,1.19866,0.000330729,0.000330729,0.0672578
2,37.9988,1.80539,2.96829,1.29173,0.27123,0.21568,0.07229,0.03404,1.68136,6.39549,1.24488,0.000661871,0.000661871,0.0342556
3,54.9964,1.79856,2.80847,1.29478,0.14278,0.22028,0.11939,0.06726,1.6147,2.54463,1.20815,0.000990813,0.000990813,0.00125123
4,71.9885,1.81595,2.71869,1.28519,0.20975,0.2598,0.14873,0.07822,1.67387,2.46141,1.24656,0.0009901,0.0009901,0.0009901
5,89.1379,1.73623,2.60333,1.28489,0.17247,0.27833,0.14562,0.08524,1.59521,2.50166,1.22597,0.0009868,0.0009868,0.0009868
6,106.016,1.7133,2.51097,1.2744,0.2283,0.31378,0.18908,0.09407,1.65556,2.42873,1.23116,0.0009835,0.0009835,0.0009835
7,122.939,1.71186,2.4938,1.28924,0.29956,0.26885,0.19638,0.11776,1.58905,2.30961,1.21736,0.0009802,0.0009802,0.0009802
8,139.896,1.68601,2.37454,1.25867,0.3006,0.30426,0.21445,0.11367,1.62393,2.29944,1.23777,0.0009769,0.0009769,0.0009769
9,156.921,1.67533,2.32703,1.24154,0.29593,0.31231,0.24039,0.13984,1.52898,2.15527,1.19459,0.0009736,0.0009736,0.0009736
10,173.93,1.66744,2.2823,1.2674,0.29283,0.27724,0.2101,0.11368,1.57908,2.16043,1.22754,0.0009703,0.0009703,0.0009703
11,191.054,1.62812,2.22823,1.25553,0.32323,0.28237,0.25582,0.14576,1.52533,2.11883,1.21316,0.000967,0.000967,0.000967
12,207.893,1.67812,2.25281,1.27137,0.38747,0.31629,0.26546,0.14381,1.56007,2.21334,1.20039,0.0009637,0.0009637,0.0009637
13,225.207,1.63344,2.2198,1.24986,0.3204,0.343,0.24949,0.13793,1.5003,2.50861,1.19589,0.0009604,0.0009604,0.0009604
14,242.27,1.6598,2.19652,1.24477,0.37627,0.33241,0.2523,0.14356,1.51021,2.30074,1.1726,0.0009571,0.0009571,0.0009571
15,259.331,1.58924,2.0945,1.22489,0.33599,0.31704,0.24991,0.14604,1.47831,2.33135,1.17575,0.0009538,0.0009538,0.0009538
16,276.38,1.57538,2.11405,1.23394,0.36768,0.33143,0.27265,0.16444,1.48949,2.03433,1.19325,0.0009505,0.0009505,0.0009505
17,293.165,1.62087,2.07039,1.2354,0.39793,0.35334,0.30952,0.17744,1.54687,2.02064,1.2022,0.0009472,0.0009472,0.0009472
18,310.123,1.55244,2.0777,1.20716,0.39516,0.36877,0.29504,0.17136,1.48673,2.01818,1.19033,0.0009439,0.0009439,0.0009439
19,327.177,1.61375,2.05779,1.22663,0.33801,0.3673,0.28406,0.15664,1.53512,2.02672,1.18666,0.0009406,0.0009406,0.0009406
20,344.236,1.58374,2.05953,1.21896,0.43869,0.39487,0.31993,0.18608,1.50749,1.96666,1.2057,0.0009373,0.0009373,0.0009373
21,361.309,1.55429,2.00516,1.19541,0.46726,0.32178,0.31161,0.18041,1.49147,1.9518,1.1942,0.000934,0.000934,0.000934
22,378.578,1.55939,1.99782,1.18557,0.38761,0.33822,0.29888,0.17872,1.49027,2.08335,1.19562,0.0009307,0.0009307,0.0009307
23,395.65,1.53683,1.9293,1.17311,0.37776,0.34444,0.31527,0.18657,1.44791,1.88638,1.16932,0.0009274,0.0009274,0.0009274
24,412.518,1.56108,1.91487,1.20353,0.38813,0.36829,0.3232,0.19108,1.48033,1.97553,1.17165,0.0009241,0.0009241,0.0009241
25,429.504,1.52245,1.89715,1.20633,0.42778,0.34217,0.32023,0.17527,1.5233,1.99639,1.17622,0.0009208,0.0009208,0.0009208
26,446.854,1.54537,1.90467,1.1799,0.45241,0.32555,0.32242,0.19117,1.44014,1.93851,1.16305,0.0009175,0.0009175,0.0009175
27,463.863,1.46227,1.85062,1.14473,0.35762,0.37983,0.32401,0.19709,1.4749,2.03428,1.18383,0.0009142,0.0009142,0.0009142
28,480.785,1.49505,1.85318,1.17784,0.44315,0.36046,0.33242,0.19239,1.46271,2.01514,1.1955,0.0009109,0.0009109,0.0009109
29,497.687,1.48572,1.87688,1.17196,0.46304,0.35774,0.33998,0.20224,1.45987,1.86394,1.16967,0.0009076,0.0009076,0.0009076
30,514.647,1.50604,1.83498,1.18948,0.43205,0.33261,0.33112,0.19047,1.51011,1.95404,1.17836,0.0009043,0.0009043,0.0009043
31,531.846,1.49986,1.77058,1.16891,0.42756,0.3376,0.33027,0.19493,1.4824,1.94607,1.17082,0.000901,0.000901,0.000901
32,549.051,1.48029,1.74866,1.15851,0.3525,0.35637,0.28904,0.17088,1.44612,2.13735,1.15161,0.0008977,0.0008977,0.0008977
33,565.874,1.48105,1.76895,1.16447,0.43914,0.35601,0.33684,0.20154,1.44475,1.91889,1.18164,0.0008944,0.0008944,0.0008944
34,582.869,1.42837,1.72099,1.14737,0.39306,0.40167,0.35284,0.21074,1.46824,1.89782,1.1876,0.0008911,0.0008911,0.0008911
35,599.725,1.50146,1.7184,1.15419,0.47716,0.32853,0.3343,0.19685,1.47575,2.04258,1.17612,0.0008878,0.0008878,0.0008878
36,616.776,1.47943,1.70686,1.16448,0.43887,0.38429,0.36238,0.2128,1.47849,1.88199,1.16843,0.0008845,0.0008845,0.0008845
37,633.857,1.48661,1.74786,1.16839,0.51548,0.3677,0.36861,0.22424,1.4483,1.85349,1.18025,0.0008812,0.0008812,0.0008812
38,650.833,1.46487,1.67398,1.14102,0.42613,0.36933,0.34954,0.21384,1.43457,1.86648,1.13862,0.0008779,0.0008779,0.0008779
39,667.84,1.44848,1.69633,1.14815,0.40026,0.42815,0.36363,0.21942,1.42298,1.81748,1.15797,0.0008746,0.0008746,0.0008746
40,685.035,1.42922,1.66409,1.1437,0.46149,0.42076,0.38153,0.22076,1.44094,1.74691,1.15768,0.0008713,0.0008713,0.0008713
41,701.949,1.44782,1.66727,1.15275,0.48571,0.36023,0.36521,0.20952,1.47997,1.85925,1.14888,0.000868,0.000868,0.000868
42,719.086,1.44322,1.61186,1.13909,0.47645,0.35171,0.36409,0.22191,1.45384,1.91054,1.14842,0.0008647,0.0008647,0.0008647
43,735.986,1.44073,1.65216,1.14958,0.45022,0.38861,0.37626,0.21364,1.47287,1.83235,1.1716,0.0008614,0.0008614,0.0008614
44,753.244,1.39855,1.57545,1.12656,0.43872,0.39329,0.39273,0.23028,1.4838,1.74813,1.1678,0.0008581,0.0008581,0.0008581
45,770.104,1.46137,1.61997,1.16367,0.44755,0.39822,0.37598,0.22165,1.47207,1.8214,1.18961,0.0008548,0.0008548,0.0008548
46,787.235,1.41999,1.57739,1.12887,0.51582,0.347,0.36709,0.22006,1.43848,1.82602,1.14429,0.0008515,0.0008515,0.0008515
47,804.166,1.42237,1.55662,1.11377,0.51462,0.39866,0.38607,0.22174,1.49068,1.83927,1.16347,0.0008482,0.0008482,0.0008482
48,821.172,1.39424,1.51549,1.10158,0.50283,0.38316,0.37687,0.23851,1.37939,1.8425,1.13471,0.0008449,0.0008449,0.0008449
49,838.038,1.3608,1.49678,1.09884,0.46635,0.36535,0.36293,0.21905,1.42342,1.92745,1.15834,0.0008416,0.0008416,0.0008416
50,854.927,1.41126,1.51444,1.11353,0.49978,0.35965,0.37241,0.22349,1.43721,1.85851,1.14245,0.0008383,0.0008383,0.0008383
51,871.858,1.40402,1.54872,1.12936,0.46068,0.3856,0.36,0.20802,1.47013,1.91871,1.16151,0.000835,0.000835,0.000835
52,888.826,1.38288,1.50777,1.11528,0.47212,0.38945,0.38067,0.22738,1.41888,1.79789,1.14894,0.0008317,0.0008317,0.0008317
53,905.967,1.37435,1.46896,1.10912,0.45929,0.41901,0.37302,0.22394,1.44778,1.79946,1.15834,0.0008284,0.0008284,0.0008284
54,922.936,1.39239,1.47862,1.11086,0.41253,0.43051,0.37285,0.22192,1.44766,1.87672,1.15832,0.0008251,0.0008251,0.0008251
55,939.968,1.35786,1.4737,1.10019,0.51752,0.39549,0.38843,0.24101,1.40105,1.89855,1.13558,0.0008218,0.0008218,0.0008218
56,956.858,1.37148,1.44708,1.10211,0.53487,0.43393,0.41965,0.24123,1.42618,1.72282,1.16289,0.0008185,0.0008185,0.0008185
57,973.892,1.39719,1.446,1.11963,0.54357,0.41388,0.43511,0.25405,1.42057,1.69106,1.14715,0.0008152,0.0008152,0.0008152
58,990.853,1.30992,1.38505,1.08582,0.51855,0.38841,0.4042,0.24152,1.42724,1.83032,1.16335,0.0008119,0.0008119,0.0008119
59,1007.69,1.36867,1.40941,1.0992,0.47355,0.44166,0.41295,0.25074,1.41986,1.75888,1.16383,0.0008086,0.0008086,0.0008086
60,1024.8,1.37318,1.46914,1.10571,0.55175,0.40177,0.41377,0.24263,1.43072,1.75201,1.15094,0.0008053,0.0008053,0.0008053
61,1041.71,1.34138,1.3718,1.08514,0.50519,0.41264,0.39785,0.23487,1.44684,1.72088,1.14184,0.000802,0.000802,0.000802
62,1058.44,1.36126,1.33407,1.08479,0.45602,0.44763,0.42453,0.25793,1.41788,1.70414,1.13907,0.0007987,0.0007987,0.0007987
63,1075.3,1.30971,1.36874,1.07697,0.5134,0.43267,0.4148,0.2539,1.45444,1.82818,1.15206,0.0007954,0.0007954,0.0007954
64,1092.27,1.3495,1.40114,1.11131,0.50983,0.43689,0.39477,0.23637,1.42539,1.77893,1.14658,0.0007921,0.0007921,0.0007921
65,1109.44,1.35906,1.39402,1.08203,0.50362,0.41956,0.41672,0.25967,1.4055,1.73983,1.14575,0.0007888,0.0007888,0.0007888
66,1126.44,1.34767,1.36549,1.10767,0.57341,0.40921,0.42731,0.25528,1.44732,1.72136,1.15792,0.0007855,0.0007855,0.0007855
67,1143.63,1.34385,1.34857,1.09323,0.49073,0.4336,0.40902,0.23966,1.46358,1.79439,1.16709,0.0007822,0.0007822,0.0007822
