epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5003,1.71868,3.72464,1.29736,0.20881,0.23019,0.12533,0.0709,1.57017,2.68111,1.19944,0.000330729,0.000330729,0.0672578
2,37.1524,1.7216,2.62659,1.28288,0.43995,0.16282,0.14111,0.07948,1.57698,3.92622,1.24374,0.000661871,0.000661871,0.0342556
3,55.5432,1.71351,2.50117,1.30028,0.2787,0.32639,0.23159,0.13364,1.54956,2.62422,1.245,0.000990813,0.000990813,0.00125123
4,74.0857,1.72984,2.40456,1.30593,0.29704,0.24411,0.22436,0.13358,1.54813,2.20674,1.24478,0.0009901,0.0009901,0.0009901
5,92.0306,1.68476,2.33943,1.29939,0.31176,0.32466,0.25323,0.14384,1.53534,2.52602,1.2553,0.0009868,0.0009868,0.0009868
6,110.6,1.64841,2.2714,1.29193,0.28597,0.32492,0.23946,0.13179,1.58186,2.4185,1.27873,0.0009835,0.0009835,0.0009835
7,128.941,1.59393,2.22395,1.27061,0.30517,0.32741,0.26011,0.15397,1.53052,2.14321,1.24987,0.0009802,0.0009802,0.0009802
8,147.451,1.63182,2.13603,1.26923,0.40493,0.25752,0.24962,0.13853,1.54573,2.36207,1.22794,0.0009769,0.0009769,0.0009769
9,165.674,1.6068,2.09626,1.24419,0.38629,0.3243,0.27869,0.16484,1.4783,2.12524,1.20175,0.0009736,0.0009736,0.0009736
10,184.146,1.60021,2.07623,1.27822,0.39368,0.32609,0.2914,0.16564,1.52742,2.0345,1.25365,0.0009703,0.0009703,0.0009703
11,202.703,1.57157,2.03325,1.25319,0.36452,0.3653,0.30485,0.17618,1.5297,2.07297,1.23971,0.000967,0.000967,0.000967
12,221.225,1.57803,2.04052,1.25536,0.40356,0.36104,0.3076,0.18423,1.41568,1.99662,1.17739,0.0009637,0.0009637,0.0009637
13,239.92,1.52399,1.96691,1.2527,0.35627,0.32484,0.29793,0.17629,1.45459,2.23104,1.20891,0.0009604,0.0009604,0.0009604
14,258.094,1.55045,1.9086,1.23723,0.38083,0.37386,0.31483,0.17609,1.53178,2.04056,1.21617,0.0009571,0.0009571,0.0009571
15,276.212,1.51436,1.83572,1.24073,0.43448,0.3319,0.32464,0.18657,1.48659,1.96022,1.23432,0.0009538,0.0009538,0.0009538
16,294.851,1.49241,1.85713,1.23425,0.40556,0.35247,0.31963,0.19047,1.43961,1.99639,1.1971,0.0009505,0.0009505,0.0009505
17,313.235,1.52269,1.78015,1.21535,0.43761,0.3549,0.34953,0.20167,1.48571,1.88691,1.20263,0.0009472,0.0009472,0.0009472
18,331.85,1.48689,1.81795,1.21271,0.34758,0.40423,0.31953,0.19894,1.40861,2.15451,1.19215,0.0009439,0.0009439,0.0009439
19,350.136,1.48539,1.78276,1.20542,0.41656,0.39403,0.36822,0.22291,1.43946,1.80005,1.21244,0.0009406,0.0009406,0.0009406
20,368.645,1.48794,1.77279,1.21007,0.4015,0.38137,0.33486,0.189,1.52257,1.96938,1.23501,0.0009373,0.0009373,0.0009373
21,386.744,1.45912,1.73481,1.18847,0.48,0.34535,0.33581,0.20151,1.43517,2.14216,1.1862,0.000934,0.000934,0.000934
22,405.054,1.44251,1.69158,1.18111,0.43572,0.39056,0.36315,0.21674,1.42112,1.86092,1.21033,0.0009307,0.0009307,0.0009307
23,423.246,1.44419,1.66541,1.1749,0.468,0.35187,0.34212,0.21011,1.45734,2.00812,1.20658,0.0009274,0.0009274,0.0009274
24,441.386,1.46044,1.68801,1.19485,0.50574,0.3881,0.40487,0.24653,1.41697,1.85872,1.20211,0.0009241,0.0009241,0.0009241
25,459.804,1.39475,1.60571,1.19613,0.50717,0.39803,0.40149,0.2388,1.40368,1.72612,1.19257,0.0009208,0.0009208,0.0009208
26,478.124,1.41102,1.62812,1.16849,0.53921,0.39216,0.40824,0.24514,1.42007,1.77256,1.19081,0.0009175,0.0009175,0.0009175
27,496.424,1.34652,1.58934,1.14143,0.39351,0.38056,0.33829,0.21241,1.37288,1.96316,1.18221,0.0009142,0.0009142,0.0009142
28,514.887,1.37371,1.60594,1.16394,0.50555,0.37621,0.39235,0.23986,1.42688,1.89783,1.21373,0.0009109,0.0009109,0.0009109
29,532.955,1.38893,1.62401,1.17447,0.45967,0.40262,0.38923,0.23309,1.41192,1.78572,1.1922,0.0009076,0.0009076,0.0009076
30,550.925,1.35141,1.56913,1.16047,0.42641,0.44063,0.38388,0.22502,1.42585,1.79817,1.17877,0.0009043,0.0009043,0.0009043
31,569.825,1.36255,1.50417,1.13336,0.48341,0.389,0.39135,0.23289,1.39927,1.88155,1.18063,0.000901,0.000901,0.000901
32,588.17,1.36818,1.49737,1.13682,0.42803,0.42853,0.39183,0.23511,1.42232,1.82788,1.19123,0.0008977,0.0008977,0.0008977
33,606.386,1.34871,1.46682,1.14035,0.50278,0.41709,0.41936,0.24746,1.41802,1.82087,1.19755,0.0008944,0.0008944,0.0008944
34,625,1.30971,1.40562,1.11879,0.44268,0.45371,0.42,0.25598,1.40966,1.74697,1.18083,0.0008911,0.0008911,0.0008911
35,643.369,1.33949,1.44227,1.12443,0.53008,0.43207,0.42607,0.26269,1.37552,1.68861,1.17199,0.0008878,0.0008878,0.0008878
36,661.749,1.33602,1.4266,1.12927,0.50535,0.42009,0.42699,0.24987,1.45004,1.71172,1.18823,0.0008845,0.0008845,0.0008845
37,680.24,1.3434,1.44488,1.14075,0.50482,0.40726,0.43118,0.25485,1.41137,1.81276,1.17218,0.0008812,0.0008812,0.0008812
38,698.685,1.32102,1.39002,1.10276,0.46624,0.40202,0.38715,0.2303,1.40888,1.75189,1.18421,0.0008779,0.0008779,0.0008779
39,716.731,1.31003,1.38419,1.1199,0.41557,0.44571,0.40898,0.25054,1.37935,1.68234,1.16439,0.0008746,0.0008746,0.0008746
40,734.971,1.30873,1.38373,1.11737,0.52238,0.39647,0.41261,0.24457,1.39077,1.74753,1.16502,0.0008713,0.0008713,0.0008713
41,753.036,1.3159,1.38785,1.12978,0.48188,0.44392,0.43083,0.27714,1.35229,1.67111,1.15382,0.000868,0.000868,0.000868
42,771.422,1.30976,1.35757,1.11043,0.47182,0.43351,0.3999,0.23593,1.4227,1.75588,1.18404,0.0008647,0.0008647,0.0008647
43,789.343,1.3264,1.34546,1.13488,0.57652,0.38055,0.40846,0.23731,1.42055,1.74591,1.19143,0.0008614,0.0008614,0.0008614
44,807.579,1.26156,1.27642,1.0865,0.45106,0.47936,0.43135,0.27091,1.35568,1.64832,1.15887,0.0008581,0.0008581,0.0008581
45,825.392,1.28342,1.31677,1.11348,0.46754,0.44462,0.41313,0.24862,1.42586,1.70813,1.19812,0.0008548,0.0008548,0.0008548
46,843.715,1.23773,1.26041,1.07867,0.41626,0.43871,0.384,0.23266,1.402,1.80993,1.18806,0.0008515,0.0008515,0.0008515
47,861.662,1.283,1.28169,1.08189,0.54167,0.42905,0.43185,0.25665,1.43232,1.69453,1.19009,0.0008482,0.0008482,0.0008482
48,879.769,1.26997,1.25876,1.07956,0.54126,0.44739,0.44728,0.27612,1.34657,1.73803,1.16244,0.0008449,0.0008449,0.0008449
49,897.725,1.2492,1.23831,1.07072,0.55526,0.41302,0.43133,0.25823,1.38249,1.73998,1.17429,0.0008416,0.0008416,0.0008416
50,915.8,1.25443,1.22964,1.07243,0.51634,0.41859,0.42584,0.25734,1.36333,1.72348,1.16565,0.0008383,0.0008383,0.0008383
51,933.862,1.22239,1.18349,1.08802,0.54185,0.41328,0.44039,0.26384,1.37024,1.66114,1.16725,0.000835,0.000835,0.000835
52,951.992,1.21431,1.16158,1.07517,0.45367,0.44003,0.39968,0.23997,1.41156,1.83024,1.17821,0.0008317,0.0008317,0.0008317
53,970.314,1.22049,1.18241,1.07891,0.49804,0.43304,0.42367,0.26877,1.36341,1.69179,1.16789,0.0008284,0.0008284,0.0008284
54,988.625,1.23468,1.18079,1.07325,0.50078,0.45209,0.41072,0.25584,1.3587,1.78002,1.16515,0.0008251,0.0008251,0.0008251
55,1006.86,1.21005,1.18075,1.05819,0.4714,0.45704,0.42879,0.26414,1.36447,1.65446,1.1568,0.0008218,0.0008218,0.0008218
56,1024.96,1.19741,1.15257,1.05943,0.53063,0.43416,0.45649,0.28334,1.36555,1.63272,1.15864,0.0008185,0.0008185,0.0008185
57,1043.36,1.23448,1.17548,1.08115,0.47801,0.44544,0.43684,0.26139,1.40345,1.61644,1.1686,0.0008152,0.0008152,0.0008152
58,1061.62,1.17429,1.10813,1.05861,0.50667,0.45973,0.44892,0.28249,1.34969,1.71221,1.14405,0.0008119,0.0008119,0.0008119
59,1079.78,1.20413,1.13441,1.06111,0.55294,0.44055,0.44863,0.27326,1.3716,1.63271,1.16497,0.0008086,0.0008086,0.0008086
60,1097.97,1.1994,1.1295,1.05285,0.47335,0.45221,0.43429,0.25211,1.40772,1.71301,1.16389,0.0008053,0.0008053,0.0008053
61,1116.18,1.16698,1.05327,1.03689,0.54826,0.43714,0.43896,0.27187,1.34543,1.65175,1.15422,0.000802,0.000802,0.000802
62,1134.19,1.19011,1.07181,1.05039,0.51348,0.4216,0.42968,0.27252,1.34538,1.71081,1.152,0.0007987,0.0007987,0.0007987
63,1152.49,1.16177,1.08173,1.04712,0.50305,0.45892,0.43827,0.26287,1.37285,1.7051,1.15946,0.0007954,0.0007954,0.0007954
64,1170.8,1.19322,1.11605,1.06819,0.56308,0.38995,0.43651,0.27282,1.33829,1.66775,1.14722,0.0007921,0.0007921,0.0007921
65,1189.03,1.1641,1.07438,1.03728,0.46643,0.4556,0.41776,0.26838,1.31073,1.71799,1.15645,0.0007888,0.0007888,0.0007888
66,1207.24,1.18966,1.09991,1.06685,0.52026,0.45063,0.43982,0.27756,1.33655,1.77088,1.16948,0.0007855,0.0007855,0.0007855
67,1225.65,1.16341,1.06888,1.04466,0.5488,0.44922,0.43594,0.26796,1.34,1.66179,1.14132,0.0007822,0.0007822,0.0007822
68,1244.01,1.13848,1.00572,1.03188,0.48783,0.51749,0.46775,0.28998,1.33269,1.62108,1.16042,0.0007789,0.0007789,0.0007789
69,1262.43,1.12616,1.03122,1.01909,0.50284,0.50053,0.48295,0.30023,1.3277,1.57059,1.13447,0.0007756,0.0007756,0.0007756
70,1280.91,1.17265,1.08138,1.03946,0.49691,0.51584,0.48907,0.30886,1.31952,1.54248,1.13516,0.0007723,0.0007723,0.0007723
71,1299.32,1.13088,1.02428,1.03568,0.55778,0.4435,0.46164,0.29322,1.32361,1.62349,1.13757,0.000769,0.000769,0.000769
72,1317.41,1.14142,1.04331,1.03198,0.50491,0.46405,0.43505,0.27243,1.34662,1.70264,1.15043,0.0007657,0.0007657,0.0007657
73,1335.46,1.13985,0.99143,1.0286,0.57979,0.43246,0.46611,0.29794,1.30295,1.52787,1.14004,0.0007624,0.0007624,0.0007624
74,1353.5,1.14621,0.9957,1.0255,0.61527,0.40626,0.45468,0.28582,1.31295,1.60386,1.12733,0.0007591,0.0007591,0.0007591
75,1371.46,1.12135,0.95883,1.00797,0.6223,0.44175,0.48939,0.29542,1.35599,1.66119,1.13858,0.0007558,0.0007558,0.0007558
76,1389.67,1.13145,0.96671,1.02391,0.62237,0.45547,0.48601,0.30511,1.33082,1.5043,1.12703,0.0007525,0.0007525,0.0007525
77,1407.81,1.14431,0.98041,1.02305,0.57364,0.41431,0.42812,0.26441,1.36025,1.6604,1.15711,0.0007492,0.0007492,0.0007492
78,1425.79,1.11682,0.95681,1.00312,0.58243,0.44704,0.45248,0.2848,1.34244,1.68096,1.14641,0.0007459,0.0007459,0.0007459
79,1443.99,1.11551,0.94758,1.01253,0.58641,0.42338,0.44611,0.27844,1.35577,1.63598,1.17363,0.0007426,0.0007426,0.0007426
80,1462.06,1.10823,0.93592,1.00288,0.50575,0.46978,0.44525,0.27301,1.3532,1.61429,1.14263,0.0007393,0.0007393,0.0007393
81,1480.14,1.11764,0.93843,1.00217,0.58953,0.45732,0.47128,0.28351,1.37805,1.55999,1.18199,0.000736,0.000736,0.000736
82,1498.4,1.13482,0.98031,1.01888,0.57981,0.50014,0.48162,0.30059,1.32397,1.58778,1.15431,0.0007327,0.0007327,0.0007327
83,1516.47,1.13106,0.95635,1.02346,0.46907,0.49351,0.44205,0.27712,1.33727,1.67019,1.14943,0.0007294,0.0007294,0.0007294
84,1534.5,1.0865,0.9272,1.01119,0.53089,0.51724,0.50641,0.31662,1.32949,1.45885,1.13756,0.0007261,0.0007261,0.0007261
85,1552.8,1.07502,0.90918,1.01294,0.57033,0.45756,0.47846,0.29546,1.33028,1.58939,1.14373,0.0007228,0.0007228,0.0007228
86,1570.89,1.08471,0.89529,0.99086,0.6041,0.43028,0.45416,0.28021,1.37005,1.61736,1.16574,0.0007195,0.0007195,0.0007195
87,1589.06,1.09512,0.92852,1.00914,0.55922,0.44673,0.4551,0.27519,1.36789,1.67564,1.17833,0.0007162,0.0007162,0.0007162
88,1607.09,1.07509,0.90205,0.99951,0.53361,0.46473,0.47476,0.29478,1.31007,1.56044,1.13463,0.0007129,0.0007129,0.0007129
89,1625.23,1.06274,0.87418,0.99248,0.57183,0.46819,0.47786,0.29136,1.36258,1.58908,1.15669,0.0007096,0.0007096,0.0007096
90,1643.2,1.09359,0.87732,1.01526,0.44703,0.49355,0.42601,0.26065,1.34063,1.66764,1.14194,0.0007063,0.0007063,0.0007063
91,1661.27,1.09457,0.92424,0.99864,0.52242,0.46277,0.45041,0.27739,1.32389,1.65891,1.14133,0.000703,0.000703,0.000703
92,1679.38,1.07528,0.88099,0.99871,0.60738,0.40418,0.45794,0.28208,1.34619,1.70071,1.14764,0.0006997,0.0006997,0.0006997
93,1697.41,1.06457,0.86509,0.99655,0.62169,0.40619,0.4634,0.28661,1.31373,1.63575,1.1315,0.0006964,0.0006964,0.0006964
94,1715.43,1.07094,0.86422,0.98498,0.60683,0.40289,0.44581,0.27642,1.33722,1.66758,1.13005,0.0006931,0.0006931,0.0006931
95,1733.3,1.06091,0.84004,0.98134,0.51057,0.44586,0.43562,0.26671,1.36392,1.72399,1.15288,0.0006898,0.0006898,0.0006898
96,1751.43,1.03565,0.84309,0.97249,0.56802,0.4182,0.45171,0.28318,1.31484,1.71043,1.13448,0.0006865,0.0006865,0.0006865
97,1769.42,1.02349,0.83827,0.96609,0.50404,0.49293,0.46109,0.28089,1.34184,1.70733,1.13812,0.0006832,0.0006832,0.0006832
98,1787.76,1.05519,0.86718,0.9905,0.63147,0.48218,0.48395,0.30013,1.29866,1.59981,1.13184,0.0006799,0.0006799,0.0006799
99,1805.71,0.99351,0.83386,0.96721,0.51914,0.49712,0.46221,0.27348,1.34953,1.67391,1.16252,0.0006766,0.0006766,0.0006766
100,1823.8,1.05147,0.84881,0.97871,0.56189,0.46023,0.48051,0.29755,1.33512,1.60537,1.14378,0.0006733,0.0006733,0.0006733
101,1841.86,1.06795,0.8578,0.98309,0.55493,0.46431,0.47025,0.27972,1.36495,1.62032,1.14903,0.00067,0.00067,0.00067
102,1859.8,1.03401,0.82301,0.97652,0.54592,0.49149,0.46343,0.27946,1.35325,1.67134,1.14396,0.0006667,0.0006667,0.0006667
