epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.3344,1.78952,3.92055,1.19149,0.20121,0.21665,0.12657,0.06851,1.69046,2.56355,1.14291,0.000367113,0.000367113,0.000367113
2,28.0603,1.89377,2.67365,1.21103,0.20802,0.20396,0.15307,0.07927,1.72913,2.38531,1.15892,0.000735013,0.000735013,0.000735013
3,42.1222,1.90441,2.58844,1.25433,0.34079,0.1587,0.11182,0.05795,1.88104,2.71972,1.35805,0.00110047,0.00110047,0.00110047
4,55.5887,1.94952,2.54065,1.30174,0.19834,0.21851,0.12072,0.06526,1.80084,3.08549,1.25972,0.0011,0.0011,0.0011
5,69.0759,1.93386,2.41689,1.27081,0.22394,0.23609,0.16037,0.09096,1.67432,2.43241,1.20621,0.00109633,0.00109633,0.00109633
6,82.9124,1.9243,2.35102,1.26969,0.28257,0.26603,0.17742,0.09668,1.70834,2.21733,1.23318,0.00109267,0.00109267,0.00109267
7,96.9106,1.91783,2.30099,1.25004,0.22317,0.26675,0.16934,0.08859,1.7392,2.42448,1.21601,0.001089,0.001089,0.001089
8,110.596,1.84464,2.18791,1.2194,0.31714,0.23003,0.20454,0.1114,1.70777,2.39593,1.21563,0.00108534,0.00108534,0.00108534
9,124.69,1.8787,2.26492,1.25702,0.25059,0.26569,0.18011,0.09717,1.74468,2.47541,1.22646,0.00108167,0.00108167,0.00108167
10,138.239,1.84411,2.15232,1.2317,0.35114,0.23951,0.21695,0.11465,1.72458,2.11183,1.23097,0.001078,0.001078,0.001078
11,152.193,1.79172,2.17188,1.23181,0.35857,0.23894,0.22135,0.11813,1.69825,2.23809,1.22504,0.00107434,0.00107434,0.00107434
12,166.112,1.75909,2.13232,1.21948,0.26183,0.31896,0.2168,0.12597,1.63595,2.2974,1.2077,0.00107067,0.00107067,0.00107067
13,180.093,1.80102,2.199,1.22596,0.34052,0.31271,0.23288,0.13634,1.618,2.12456,1.19218,0.001067,0.001067,0.001067
14,193.978,1.76781,2.06096,1.20432,0.37156,0.32242,0.27048,0.15168,1.63152,1.95638,1.19241,0.00106334,0.00106334,0.00106334
15,207.931,1.70277,2.011,1.19239,0.37441,0.28122,0.25652,0.13111,1.63262,1.90102,1.17217,0.00105967,0.00105967,0.00105967
16,221.515,1.70214,1.89336,1.17514,0.38915,0.2871,0.25249,0.14346,1.5769,2.02001,1.17545,0.00105601,0.00105601,0.00105601
17,235.055,1.69599,1.94575,1.19213,0.42112,0.32368,0.29514,0.16662,1.60458,1.90507,1.18906,0.00105234,0.00105234,0.00105234
18,248.813,1.67199,1.95258,1.1938,0.36907,0.33533,0.28335,0.15248,1.65481,1.97673,1.20991,0.00104867,0.00104867,0.00104867
19,262.838,1.69152,1.8855,1.17192,0.36382,0.33369,0.26878,0.15076,1.60322,1.93686,1.19209,0.00104501,0.00104501,0.00104501
20,276.573,1.6421,1.85814,1.14903,0.38762,0.32589,0.2686,0.14235,1.66426,1.97521,1.25328,0.00104134,0.00104134,0.00104134
21,290.146,1.64572,1.89041,1.15502,0.40292,0.34386,0.30282,0.16894,1.59911,1.83562,1.19248,0.00103767,0.00103767,0.00103767
22,303.99,1.66393,1.8325,1.13524,0.41638,0.2978,0.27283,0.15161,1.56455,1.92134,1.1537,0.00103401,0.00103401,0.00103401
23,317.515,1.62936,1.79234,1.14385,0.40539,0.36264,0.31248,0.17621,1.5621,1.8514,1.16597,0.00103034,0.00103034,0.00103034
24,331.461,1.64248,1.78638,1.15138,0.46364,0.33331,0.32265,0.18657,1.50046,1.85834,1.14527,0.00102668,0.00102668,0.00102668
25,345.361,1.63383,1.765,1.12605,0.36578,0.36139,0.28705,0.15625,1.55835,1.93163,1.15085,0.00102301,0.00102301,0.00102301
26,359.09,1.61162,1.7198,1.13468,0.39499,0.36695,0.3169,0.18271,1.52799,1.85225,1.14477,0.00101934,0.00101934,0.00101934
27,372.688,1.57931,1.67528,1.1175,0.45175,0.35667,0.3345,0.19221,1.52395,1.76099,1.14354,0.00101568,0.00101568,0.00101568
28,386.695,1.58178,1.76875,1.12084,0.49391,0.32598,0.3109,0.16913,1.5698,1.80741,1.15978,0.00101201,0.00101201,0.00101201
29,400.537,1.61743,1.71516,1.14807,0.43236,0.34865,0.32409,0.18913,1.56496,1.74168,1.14089,0.00100834,0.00100834,0.00100834
30,414.205,1.59695,1.73004,1.11477,0.44464,0.33405,0.32816,0.18122,1.57442,1.82723,1.16988,0.00100468,0.00100468,0.00100468
31,427.742,1.60149,1.66866,1.12213,0.43578,0.31458,0.31249,0.18025,1.53627,1.80177,1.14567,0.00100101,0.00100101,0.00100101
32,441.205,1.54978,1.56702,1.1018,0.37289,0.33589,0.30076,0.16324,1.62596,1.87102,1.19527,0.000997345,0.000997345,0.000997345
33,454.895,1.58011,1.62912,1.12129,0.36912,0.39543,0.33509,0.19279,1.55274,1.73268,1.18481,0.000993678,0.000993678,0.000993678
34,468.864,1.56185,1.56361,1.1112,0.40088,0.37536,0.32199,0.18602,1.53373,1.72969,1.15846,0.000990012,0.000990012,0.000990012
35,482.672,1.59066,1.62968,1.14332,0.39785,0.33762,0.31151,0.17217,1.57257,1.79654,1.17316,0.000986346,0.000986346,0.000986346
36,496.354,1.54108,1.62798,1.11031,0.40557,0.36606,0.33975,0.1965,1.53218,1.70985,1.1407,0.000982679,0.000982679,0.000982679
37,510.444,1.48282,1.53005,1.09482,0.41816,0.33459,0.2875,0.16764,1.53788,1.92903,1.17354,0.000979013,0.000979013,0.000979013
38,524.183,1.46646,1.51253,1.09079,0.43326,0.35966,0.32259,0.18595,1.51923,1.87045,1.14548,0.000975347,0.000975347,0.000975347
39,537.811,1.56471,1.61784,1.10362,0.48349,0.35027,0.34631,0.19602,1.51622,1.82033,1.13145,0.000971681,0.000971681,0.000971681
40,551.483,1.47768,1.52695,1.08282,0.41846,0.34586,0.32585,0.19168,1.5184,1.79449,1.14253,0.000968014,0.000968014,0.000968014
41,565.201,1.50115,1.51249,1.07745,0.41085,0.35642,0.34241,0.19301,1.58162,1.7073,1.16875,0.000964348,0.000964348,0.000964348
42,578.787,1.58565,1.48997,1.09908,0.46594,0.40911,0.36859,0.21307,1.47898,1.63619,1.13577,0.000960682,0.000960682,0.000960682
43,592.554,1.48247,1.41953,1.07261,0.47529,0.379,0.3674,0.21362,1.52425,1.65106,1.15179,0.000957015,0.000957015,0.000957015
44,606.485,1.49989,1.46653,1.07757,0.44786,0.3641,0.34971,0.20211,1.52374,1.70274,1.14326,0.000953349,0.000953349,0.000953349
45,620.109,1.45597,1.44719,1.05984,0.51741,0.37947,0.36229,0.21613,1.50258,1.72433,1.15275,0.000949683,0.000949683,0.000949683
46,634.326,1.45958,1.41373,1.08516,0.38368,0.41229,0.3575,0.21158,1.48371,1.69069,1.12844,0.000946016,0.000946016,0.000946016
47,647.871,1.4779,1.41749,1.0691,0.46888,0.38054,0.35072,0.20032,1.50134,1.70095,1.13572,0.00094235,0.00094235,0.00094235
48,661.524,1.4418,1.39513,1.05368,0.40255,0.40573,0.33208,0.18803,1.53392,1.82263,1.14517,0.000938684,0.000938684,0.000938684
49,675.217,1.43987,1.39124,1.07638,0.46547,0.36372,0.35159,0.20547,1.49339,1.71467,1.13108,0.000935018,0.000935018,0.000935018
50,688.913,1.45258,1.35792,1.06078,0.42927,0.36734,0.33983,0.19561,1.57937,1.73257,1.203,0.000931351,0.000931351,0.000931351
51,702.528,1.43136,1.31395,1.05062,0.44774,0.38434,0.36584,0.21403,1.52714,1.73999,1.14901,0.000927685,0.000927685,0.000927685
52,716.028,1.4652,1.32011,1.06018,0.4633,0.37551,0.35151,0.20644,1.49484,1.68684,1.12472,0.000924019,0.000924019,0.000924019
53,729.698,1.43117,1.30847,1.05139,0.42661,0.38244,0.35353,0.20687,1.51504,1.67765,1.12414,0.000920352,0.000920352,0.000920352
54,743.409,1.42815,1.33165,1.04454,0.46764,0.38873,0.35747,0.21208,1.52078,1.64401,1.18279,0.000916686,0.000916686,0.000916686
55,756.925,1.39342,1.27739,1.03117,0.47741,0.38388,0.37021,0.21229,1.52121,1.71207,1.17497,0.00091302,0.00091302,0.00091302
56,770.739,1.39793,1.27389,1.04621,0.4744,0.35684,0.35637,0.20815,1.53915,1.73147,1.19119,0.000909353,0.000909353,0.000909353
57,784.349,1.42834,1.32565,1.05477,0.46686,0.3529,0.33885,0.1998,1.5026,1.75442,1.14037,0.000905687,0.000905687,0.000905687
58,798.029,1.38925,1.27026,1.03969,0.49975,0.38702,0.36067,0.20408,1.55555,1.78847,1.17108,0.000902021,0.000902021,0.000902021
59,811.582,1.42749,1.33164,1.0623,0.4686,0.37789,0.35165,0.20501,1.50761,1.75838,1.13602,0.000898355,0.000898355,0.000898355
60,825.118,1.43198,1.31838,1.05912,0.50094,0.40242,0.38316,0.22746,1.4329,1.5859,1.10168,0.000894688,0.000894688,0.000894688
61,838.899,1.40741,1.25396,1.05811,0.48221,0.3943,0.37451,0.22383,1.51283,1.71941,1.16168,0.000891022,0.000891022,0.000891022
62,852.528,1.38311,1.27703,1.03657,0.50285,0.39901,0.37407,0.21506,1.51101,1.65974,1.14546,0.000887356,0.000887356,0.000887356
63,866.096,1.37001,1.25221,1.04069,0.46046,0.38052,0.36689,0.21297,1.51106,1.67416,1.11878,0.000883689,0.000883689,0.000883689
64,879.836,1.37362,1.22271,1.03663,0.55466,0.35122,0.36428,0.20856,1.52329,1.74248,1.13274,0.000880023,0.000880023,0.000880023
65,893.261,1.36282,1.19064,1.02496,0.46416,0.40583,0.37239,0.20811,1.52903,1.6374,1.14187,0.000876357,0.000876357,0.000876357
66,906.785,1.34193,1.16247,1.03073,0.45281,0.42697,0.38687,0.22852,1.49051,1.70165,1.14555,0.000872691,0.000872691,0.000872691
67,920.569,1.37987,1.23949,1.04524,0.5039,0.4324,0.41918,0.24008,1.49329,1.64843,1.12979,0.000869024,0.000869024,0.000869024
68,934.376,1.36013,1.17149,1.02431,0.52387,0.36573,0.36843,0.2174,1.5599,1.72029,1.14454,0.000865358,0.000865358,0.000865358
69,948.01,1.32014,1.15306,0.99434,0.50165,0.37303,0.36938,0.20825,1.47639,1.73436,1.12748,0.000861692,0.000861692,0.000861692
70,961.488,1.35075,1.18647,1.0138,0.52794,0.35058,0.36333,0.20875,1.51528,1.70571,1.13102,0.000858025,0.000858025,0.000858025
71,975.1,1.32149,1.12191,1.01222,0.51099,0.38092,0.36039,0.21554,1.46347,1.63773,1.12732,0.000854359,0.000854359,0.000854359
72,988.891,1.36652,1.1692,1.02839,0.42694,0.39541,0.35735,0.21526,1.50751,1.66558,1.14047,0.000850693,0.000850693,0.000850693
73,1002.41,1.335,1.12344,1.01349,0.53667,0.38174,0.39623,0.23262,1.51852,1.67848,1.13969,0.000847026,0.000847026,0.000847026
74,1015.91,1.36428,1.17216,1.04673,0.49931,0.37671,0.36334,0.20751,1.50132,1.70474,1.1315,0.00084336,0.00084336,0.00084336
75,1029.56,1.33873,1.16446,1.00967,0.42713,0.43603,0.38314,0.22031,1.48564,1.71297,1.12854,0.000839694,0.000839694,0.000839694
76,1043.03,1.31006,1.09296,1.01126,0.55754,0.39079,0.39335,0.23268,1.45608,1.61233,1.11432,0.000836027,0.000836027,0.000836027
77,1056.94,1.30969,1.08257,1.01434,0.52214,0.38539,0.37668,0.22388,1.49743,1.68549,1.13113,0.000832361,0.000832361,0.000832361
78,1070.5,1.31976,1.08304,1.00466,0.46771,0.38395,0.36063,0.2157,1.55596,1.87054,1.18801,0.000828695,0.000828695,0.000828695
79,1084.32,1.31218,1.11073,1.00291,0.48738,0.40951,0.38634,0.2303,1.48493,1.76513,1.13711,0.000825029,0.000825029,0.000825029
80,1097.85,1.33468,1.12091,1.01687,0.45185,0.37838,0.35981,0.21912,1.49318,1.71049,1.15868,0.000821362,0.000821362,0.000821362
81,1111.29,1.26414,1.03763,0.98194,0.50358,0.38559,0.36836,0.20686,1.51895,1.75086,1.13818,0.000817696,0.000817696,0.000817696
82,1124.95,1.31374,1.10194,1.00034,0.53466,0.37213,0.38328,0.22259,1.50618,1.77954,1.14892,0.00081403,0.00081403,0.00081403
83,1138.59,1.25949,1.06267,0.98843,0.58537,0.35022,0.38317,0.22983,1.52447,1.74027,1.14891,0.000810363,0.000810363,0.000810363
84,1152.16,1.32129,1.09032,1.00505,0.5344,0.38119,0.38606,0.22256,1.50629,1.72763,1.14696,0.000806697,0.000806697,0.000806697
85,1165.65,1.27622,1.03459,1.00135,0.56015,0.40138,0.38225,0.22559,1.48031,1.70074,1.11746,0.000803031,0.000803031,0.000803031
86,1179.12,1.24854,1.03013,0.9971,0.52969,0.3955,0.3974,0.23571,1.55127,1.70408,1.18564,0.000799365,0.000799365,0.000799365
87,1193.04,1.28616,1.04327,0.99436,0.46991,0.39702,0.38003,0.22618,1.52845,1.69992,1.14974,0.000795698,0.000795698,0.000795698
88,1207.99,1.22676,0.99636,0.98926,0.45149,0.42581,0.40142,0.23403,1.53875,1.71126,1.16859,0.000792032,0.000792032,0.000792032
89,1221.58,1.22106,0.98665,0.97696,0.49774,0.41918,0.41024,0.23837,1.50208,1.61327,1.14522,0.000788366,0.000788366,0.000788366
90,1235.19,1.28805,1.03142,1.00463,0.57493,0.38922,0.39789,0.22491,1.53831,1.75149,1.16568,0.000784699,0.000784699,0.000784699
91,1248.64,1.28825,1.0439,0.99357,0.53386,0.41014,0.40033,0.21946,1.61679,1.80662,1.19546,0.000781033,0.000781033,0.000781033
92,1262.32,1.27124,0.99753,0.98766,0.56462,0.38936,0.40523,0.23952,1.50885,1.68854,1.16679,0.000777367,0.000777367,0.000777367
93,1276.04,1.28177,1.03928,0.98987,0.54627,0.41588,0.40811,0.24425,1.47629,1.70086,1.13042,0.0007737,0.0007737,0.0007737
94,1289.86,1.21879,0.94767,0.96181,0.61578,0.36328,0.39391,0.23078,1.48592,1.69593,1.12719,0.000770034,0.000770034,0.000770034
95,1303.45,1.23254,0.99832,0.98063,0.47756,0.4935,0.42011,0.24951,1.47114,1.67583,1.13235,0.000766368,0.000766368,0.000766368
96,1317.27,1.25758,1.01034,0.98492,0.60834,0.40941,0.40876,0.23528,1.4917,1.67806,1.13537,0.000762702,0.000762702,0.000762702
97,1331.12,1.29038,1.03272,0.98468,0.55702,0.41887,0.42675,0.2452,1.45835,1.58656,1.13273,0.000759035,0.000759035,0.000759035
98,1344.73,1.27107,0.98678,0.98152,0.52785,0.40472,0.40479,0.24072,1.4586,1.58643,1.1111,0.000755369,0.000755369,0.000755369
99,1358.2,1.25254,0.9916,0.97978,0.57902,0.43377,0.4105,0.24365,1.48318,1.61415,1.12465,0.000751703,0.000751703,0.000751703
100,1371.65,1.25519,0.9635,0.97638,0.62569,0.39453,0.42851,0.25489,1.44043,1.68311,1.10548,0.000748036,0.000748036,0.000748036
101,1385.7,1.22951,0.94999,0.96542,0.55574,0.39156,0.40378,0.23315,1.46682,1.67169,1.12089,0.00074437,0.00074437,0.00074437
102,1399.32,1.24729,0.95218,0.97548,0.52541,0.4278,0.41219,0.24284,1.50478,1.69664,1.16957,0.000740704,0.000740704,0.000740704
103,1413.26,1.23432,0.95271,0.9808,0.47861,0.4138,0.39572,0.22731,1.49734,1.64833,1.14822,0.000737037,0.000737037,0.000737037
104,1427.06,1.23653,0.93044,0.97386,0.5598,0.42505,0.42048,0.24127,1.49184,1.6812,1.14345,0.000733371,0.000733371,0.000733371
105,1440.6,1.23517,0.9411,0.97092,0.57698,0.40516,0.41443,0.24012,1.47408,1.695,1.14654,0.000729705,0.000729705,0.000729705
106,1454.18,1.22891,0.95368,0.9632,0.5227,0.42294,0.40381,0.23076,1.48651,1.83802,1.13581,0.000726038,0.000726038,0.000726038
107,1467.73,1.21226,0.93078,0.97567,0.56666,0.38401,0.40255,0.23493,1.47985,1.74899,1.13113,0.000722372,0.000722372,0.000722372
108,1481.44,1.21411,0.91801,0.96302,0.51673,0.39665,0.40498,0.23662,1.4584,1.75006,1.10977,0.000718706,0.000718706,0.000718706
109,1495.03,1.20807,0.90694,0.95718,0.48021,0.40032,0.3768,0.22345,1.46622,1.76337,1.11128,0.00071504,0.00071504,0.00071504
