epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0344,1.95506,4.7202,1.23522,0.33199,0.03615,0.05632,0.02836,1.76089,3.64004,1.13225,0.000367113,0.000367113,0.000367113
2,51.2486,2.09754,3.83719,1.25064,0.14504,0.22612,0.0825,0.03909,1.86982,2.98591,1.20235,0.000735013,0.000735013,0.000735013
3,64.4894,2.03072,3.59124,1.26958,0.14531,0.23349,0.08857,0.0434,1.94831,2.63033,1.32566,0.00110047,0.00110047,0.00110047
4,77.6339,2.07947,3.3762,1.28856,0.22723,0.25796,0.13947,0.07136,1.85596,2.81942,1.21036,0.0011,0.0011,0.0011
5,90.6677,2.03655,2.99794,1.27109,0.26492,0.23957,0.15169,0.07229,1.83236,2.36628,1.18747,0.00109633,0.00109633,0.00109633
6,103.754,1.95981,2.87691,1.24183,0.22682,0.21298,0.1452,0.07534,1.85614,2.35356,1.2368,0.00109267,0.00109267,0.00109267
7,116.96,2.01612,2.79068,1.2427,0.26137,0.21339,0.14251,0.06759,1.91794,2.70577,1.20336,0.001089,0.001089,0.001089
8,130.139,1.95018,2.61361,1.2248,0.34302,0.22891,0.19293,0.10201,1.77067,2.22469,1.17252,0.00108534,0.00108534,0.00108534
9,143.176,1.94025,2.56835,1.24665,0.30546,0.24835,0.187,0.09752,1.77595,2.19165,1.20958,0.00108167,0.00108167,0.00108167
10,156.408,1.93899,2.51758,1.20826,0.26086,0.25783,0.19003,0.09456,1.81958,2.24226,1.17504,0.001078,0.001078,0.001078
11,169.423,1.96868,2.54196,1.24411,0.35484,0.22051,0.21059,0.10922,1.71868,2.20599,1.18968,0.00107434,0.00107434,0.00107434
12,182.64,1.89125,2.39739,1.22648,0.31084,0.28116,0.20852,0.11512,1.683,2.39145,1.17279,0.00107067,0.00107067,0.00107067
13,195.87,1.91257,2.42962,1.22176,0.35282,0.30117,0.21333,0.11472,1.70127,2.27275,1.15544,0.001067,0.001067,0.001067
14,209.001,1.85525,2.28786,1.20002,0.31271,0.26805,0.21072,0.10702,1.7316,2.19628,1.18918,0.00106334,0.00106334,0.00106334
15,222.275,1.86478,2.32706,1.22415,0.23316,0.32093,0.21472,0.11358,1.7431,2.32886,1.2273,0.00105967,0.00105967,0.00105967
16,235.367,1.85609,2.23547,1.19768,0.33251,0.28806,0.22632,0.11864,1.69181,2.05821,1.1774,0.00105601,0.00105601,0.00105601
17,248.427,1.83286,2.23208,1.21673,0.31666,0.26738,0.22718,0.11786,1.72733,2.22056,1.17335,0.00105234,0.00105234,0.00105234
18,261.621,1.81001,2.25105,1.19245,0.35934,0.25524,0.22086,0.11595,1.72745,2.17767,1.1969,0.00104867,0.00104867,0.00104867
19,274.726,1.8364,2.1729,1.19208,0.32995,0.29209,0.23564,0.12223,1.72285,2.10561,1.17965,0.00104501,0.00104501,0.00104501
20,287.796,1.78766,2.12448,1.19133,0.36119,0.29638,0.25558,0.13382,1.6895,2.00809,1.17813,0.00104134,0.00104134,0.00104134
21,301.004,1.76157,2.16274,1.16427,0.33523,0.32511,0.23938,0.12272,1.73468,2.17681,1.19881,0.00103767,0.00103767,0.00103767
22,314.074,1.84549,2.18843,1.16509,0.31135,0.28555,0.22861,0.12056,1.71534,2.01341,1.20184,0.00103401,0.00103401,0.00103401
23,327.149,1.78851,2.1486,1.17321,0.34634,0.30247,0.25473,0.14027,1.6562,2.0085,1.18342,0.00103034,0.00103034,0.00103034
24,340.231,1.79333,2.10528,1.17485,0.41003,0.31427,0.27504,0.14104,1.69486,2.00599,1.16224,0.00102668,0.00102668,0.00102668
25,353.475,1.80059,2.01253,1.14872,0.40619,0.2977,0.27381,0.14556,1.6074,1.9804,1.1421,0.00102301,0.00102301,0.00102301
26,366.668,1.77573,2.0213,1.16545,0.35219,0.28944,0.24551,0.13473,1.69539,2.08477,1.18662,0.00101934,0.00101934,0.00101934
27,379.692,1.75627,1.99791,1.14895,0.35283,0.31724,0.24048,0.12785,1.68084,2.07882,1.18761,0.00101568,0.00101568,0.00101568
28,392.92,1.75693,2.03567,1.15855,0.33887,0.31862,0.25391,0.14431,1.61031,2.08854,1.13425,0.00101201,0.00101201,0.00101201
29,406.012,1.78446,2.06049,1.18134,0.37376,0.2849,0.25193,0.12851,1.71286,2.06492,1.15205,0.00100834,0.00100834,0.00100834
30,419.091,1.7674,2.08862,1.1379,0.44964,0.28275,0.25608,0.13992,1.6421,2.06908,1.13741,0.00100468,0.00100468,0.00100468
31,432.305,1.74305,1.99225,1.14594,0.36155,0.30131,0.25576,0.14092,1.64799,1.99481,1.14022,0.00100101,0.00100101,0.00100101
32,445.314,1.70621,1.90096,1.12092,0.35454,0.32348,0.27954,0.14782,1.63229,1.96277,1.14953,0.000997345,0.000997345,0.000997345
33,458.554,1.76342,1.93838,1.15904,0.38741,0.3292,0.2777,0.15706,1.59639,1.9532,1.14425,0.000993678,0.000993678,0.000993678
34,471.608,1.73287,1.90918,1.14092,0.3977,0.34995,0.29214,0.16186,1.61793,1.89081,1.13315,0.000990012,0.000990012,0.000990012
35,484.836,1.77659,1.95162,1.1653,0.36971,0.34776,0.26529,0.14151,1.60444,1.94241,1.13293,0.000986346,0.000986346,0.000986346
36,498.055,1.67922,1.92226,1.13539,0.36088,0.34077,0.28583,0.16009,1.59925,1.94414,1.12218,0.000982679,0.000982679,0.000982679
37,511.387,1.64017,1.85345,1.12004,0.35881,0.34693,0.2673,0.14777,1.6441,2.01097,1.15864,0.000979013,0.000979013,0.000979013
38,524.628,1.63864,1.8884,1.11796,0.41009,0.33545,0.29659,0.16396,1.59283,1.9335,1.12905,0.000975347,0.000975347,0.000975347
39,537.586,1.73933,1.92344,1.14547,0.38834,0.32731,0.29651,0.15823,1.65055,1.858,1.1511,0.000971681,0.000971681,0.000971681
40,550.749,1.6456,1.84409,1.12309,0.39274,0.33758,0.29836,0.16008,1.6507,1.88073,1.12285,0.000968014,0.000968014,0.000968014
41,563.978,1.67754,1.85135,1.11042,0.38453,0.32668,0.29429,0.16247,1.60955,1.89893,1.11956,0.000964348,0.000964348,0.000964348
42,577.121,1.74665,1.84796,1.12186,0.40627,0.32353,0.28899,0.1577,1.58741,1.97997,1.13155,0.000960682,0.000960682,0.000960682
43,590.205,1.66402,1.79836,1.10929,0.39687,0.34953,0.28872,0.15339,1.63788,1.95612,1.13039,0.000957015,0.000957015,0.000957015
44,603.385,1.6731,1.77676,1.12073,0.38383,0.36759,0.31795,0.17855,1.59977,1.87067,1.11082,0.000953349,0.000953349,0.000953349
45,616.634,1.6655,1.81347,1.10999,0.34986,0.34109,0.28245,0.15885,1.6064,1.9531,1.15404,0.000949683,0.000949683,0.000949683
46,629.632,1.64165,1.77014,1.12603,0.41284,0.30717,0.28543,0.15904,1.60048,1.85998,1.1298,0.000946016,0.000946016,0.000946016
47,642.664,1.66953,1.82477,1.11619,0.35776,0.33521,0.28574,0.15189,1.63984,1.90635,1.13472,0.00094235,0.00094235,0.00094235
48,655.595,1.64223,1.80441,1.09844,0.39017,0.35747,0.31808,0.18133,1.55549,1.96505,1.11651,0.000938684,0.000938684,0.000938684
49,668.826,1.63269,1.71847,1.10854,0.41418,0.32392,0.31579,0.17519,1.57449,1.95259,1.12143,0.000935018,0.000935018,0.000935018
50,682.04,1.64413,1.72109,1.10252,0.38164,0.38888,0.31489,0.17325,1.58658,1.88612,1.12393,0.000931351,0.000931351,0.000931351
51,695.254,1.62609,1.71629,1.10188,0.41892,0.36398,0.31176,0.16922,1.59302,1.83606,1.12541,0.000927685,0.000927685,0.000927685
52,708.272,1.63652,1.67519,1.0966,0.49709,0.31669,0.32266,0.17665,1.5884,1.87242,1.12465,0.000924019,0.000924019,0.000924019
53,721.478,1.66026,1.7162,1.10673,0.37682,0.37453,0.32545,0.17976,1.56879,1.86309,1.11025,0.000920352,0.000920352,0.000920352
54,734.65,1.6469,1.71471,1.09595,0.37581,0.33088,0.30596,0.16946,1.5678,1.91536,1.13693,0.000916686,0.000916686,0.000916686
55,747.628,1.62423,1.61838,1.07412,0.43731,0.31592,0.29386,0.16595,1.59818,1.88972,1.12148,0.00091302,0.00091302,0.00091302
56,760.702,1.62756,1.66441,1.10649,0.50737,0.36641,0.33855,0.18187,1.60358,1.82651,1.13589,0.000909353,0.000909353,0.000909353
57,774.191,1.65016,1.69172,1.09991,0.46626,0.31686,0.29873,0.16431,1.60934,1.87596,1.12197,0.000905687,0.000905687,0.000905687
58,787.171,1.57038,1.63722,1.06271,0.47168,0.30473,0.29888,0.1604,1.59941,1.90759,1.12941,0.000902021,0.000902021,0.000902021
59,800.271,1.61794,1.6951,1.09916,0.40317,0.34893,0.29999,0.16102,1.5892,1.85173,1.12833,0.000898355,0.000898355,0.000898355
60,813.462,1.63345,1.69645,1.10968,0.36852,0.34856,0.29787,0.16437,1.6057,1.81551,1.13808,0.000894688,0.000894688,0.000894688
61,826.516,1.59613,1.64172,1.09293,0.48112,0.32968,0.32289,0.18125,1.54572,1.82512,1.10196,0.000891022,0.000891022,0.000891022
62,839.674,1.59864,1.64273,1.08805,0.331,0.38067,0.28403,0.15947,1.58805,2.01647,1.11425,0.000887356,0.000887356,0.000887356
63,852.926,1.5891,1.68715,1.09067,0.44288,0.30574,0.3144,0.17357,1.60702,1.87372,1.11681,0.000883689,0.000883689,0.000883689
64,866.082,1.58676,1.61999,1.08043,0.3973,0.34598,0.32429,0.17549,1.63523,1.90101,1.16033,0.000880023,0.000880023,0.000880023
65,879.063,1.59635,1.58132,1.08212,0.40523,0.37685,0.31958,0.17352,1.61304,1.82084,1.14121,0.000876357,0.000876357,0.000876357
66,892.115,1.57482,1.56043,1.07965,0.47507,0.35237,0.3366,0.18856,1.61049,1.91068,1.15525,0.000872691,0.000872691,0.000872691
67,905.16,1.58108,1.60232,1.09268,0.45035,0.35856,0.35412,0.19921,1.54221,1.71805,1.10231,0.000869024,0.000869024,0.000869024
68,918.184,1.55792,1.54857,1.07237,0.38476,0.35644,0.31558,0.17649,1.56779,1.86236,1.11405,0.000865358,0.000865358,0.000865358
69,931.286,1.53085,1.51956,1.04068,0.41713,0.34653,0.32024,0.17723,1.55965,1.81463,1.10952,0.000861692,0.000861692,0.000861692
70,944.256,1.52118,1.52226,1.05357,0.47183,0.38602,0.3622,0.19936,1.53968,1.71752,1.11141,0.000858025,0.000858025,0.000858025
71,957.38,1.55004,1.50765,1.06267,0.4372,0.35456,0.33392,0.1906,1.55553,1.78504,1.12252,0.000854359,0.000854359,0.000854359
72,970.581,1.57524,1.55222,1.0752,0.40817,0.37318,0.31499,0.17527,1.56465,1.77746,1.1145,0.000850693,0.000850693,0.000850693
73,983.579,1.532,1.51592,1.05332,0.43021,0.35019,0.32306,0.18205,1.55812,1.8929,1.11743,0.000847026,0.000847026,0.000847026
74,996.661,1.56317,1.53321,1.07895,0.47707,0.35573,0.34695,0.18057,1.60499,1.76302,1.12104,0.00084336,0.00084336,0.00084336
75,1009.84,1.55707,1.52591,1.06511,0.47396,0.34238,0.33142,0.18531,1.5755,1.83002,1.14075,0.000839694,0.000839694,0.000839694
76,1023.05,1.54859,1.53098,1.06173,0.4334,0.39531,0.3319,0.18617,1.57648,1.81869,1.12828,0.000836027,0.000836027,0.000836027
77,1036.4,1.52447,1.50374,1.05921,0.39882,0.34739,0.31417,0.16919,1.58779,1.81349,1.12849,0.000832361,0.000832361,0.000832361
78,1049.55,1.56533,1.48938,1.06016,0.43025,0.3817,0.3404,0.18281,1.59982,1.8799,1.12424,0.000828695,0.000828695,0.000828695
79,1062.82,1.5374,1.45924,1.04442,0.39847,0.38873,0.34055,0.19177,1.53194,1.7636,1.09544,0.000825029,0.000825029,0.000825029
80,1075.95,1.54726,1.47742,1.06063,0.42371,0.36847,0.33071,0.17868,1.55237,1.77573,1.10334,0.000821362,0.000821362,0.000821362
81,1089.12,1.50666,1.4436,1.04444,0.36776,0.37852,0.32223,0.1782,1.58174,1.83685,1.11523,0.000817696,0.000817696,0.000817696
82,1102.34,1.54199,1.46863,1.05764,0.41178,0.37938,0.31978,0.18053,1.57226,1.85956,1.10763,0.00081403,0.00081403,0.00081403
83,1115.56,1.48928,1.4438,1.04279,0.39626,0.4024,0.34356,0.18884,1.55159,1.73797,1.09705,0.000810363,0.000810363,0.000810363
84,1128.59,1.54653,1.45875,1.04685,0.3883,0.3856,0.32536,0.18227,1.57716,1.85805,1.12711,0.000806697,0.000806697,0.000806697
85,1141.61,1.50557,1.44246,1.05599,0.44045,0.38608,0.34269,0.19011,1.56556,1.78493,1.1214,0.000803031,0.000803031,0.000803031
86,1154.72,1.48518,1.40678,1.05522,0.45987,0.37469,0.36084,0.19487,1.56956,1.76939,1.13721,0.000799365,0.000799365,0.000799365
87,1167.84,1.50989,1.39296,1.04985,0.4585,0.37617,0.34816,0.1895,1.62705,1.82404,1.14113,0.000795698,0.000795698,0.000795698
