epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9648,1.59154,4.37548,1.20336,0.28255,0.18771,0.16812,0.09788,1.41231,2.40902,1.14939,0.000367113,0.000367113,0.000367113
2,33.5648,1.66298,2.64158,1.21998,0.29616,0.26462,0.18561,0.10462,1.60074,2.44931,1.25916,0.000735013,0.000735013,0.000735013
3,50.1707,1.67971,2.55639,1.27676,0.18737,0.27756,0.10693,0.05517,1.598,3.0466,1.27328,0.00110047,0.00110047,0.00110047
4,66.2633,1.7129,2.48429,1.29581,0.26959,0.3082,0.21676,0.11575,1.60374,2.89357,1.30091,0.0011,0.0011,0.0011
5,82.9189,1.68575,2.339,1.29692,0.30652,0.28928,0.2268,0.1259,1.57024,2.29018,1.26453,0.00109633,0.00109633,0.00109633
6,99.58,1.61967,2.26295,1.25855,0.3933,0.27545,0.23276,0.13528,1.5513,2.12846,1.29558,0.00109267,0.00109267,0.00109267
7,116.335,1.67789,2.28165,1.28581,0.21648,0.21444,0.15845,0.0883,1.73468,3.28829,1.34322,0.001089,0.001089,0.001089
8,132.593,1.60623,2.10466,1.25369,0.3712,0.34708,0.30245,0.17809,1.53785,2.06148,1.25828,0.00108534,0.00108534,0.00108534
9,149.479,1.65776,2.17786,1.29112,0.36769,0.29829,0.25596,0.14161,1.58827,2.51266,1.29188,0.00108167,0.00108167,0.00108167
10,165.757,1.59236,2.05354,1.24289,0.35951,0.32573,0.25934,0.14295,1.51482,2.08803,1.25172,0.001078,0.001078,0.001078
11,182.01,1.57609,2.09828,1.25599,0.40162,0.31344,0.29229,0.17542,1.47507,2.41773,1.2672,0.00107434,0.00107434,0.00107434
12,198.329,1.53818,1.99857,1.24811,0.3356,0.34604,0.28339,0.16633,1.47607,2.08591,1.23997,0.00107067,0.00107067,0.00107067
13,214.677,1.56184,1.99052,1.24389,0.52143,0.34404,0.32256,0.19615,1.42167,2.01975,1.19703,0.001067,0.001067,0.001067
14,231.702,1.52958,1.90018,1.208,0.33203,0.33569,0.24836,0.14834,1.48789,2.04907,1.24164,0.00106334,0.00106334,0.00106334
15,248.077,1.49276,1.8777,1.20722,0.40214,0.37199,0.32786,0.19039,1.46897,1.9125,1.22,0.00105967,0.00105967,0.00105967
16,264.296,1.47584,1.75157,1.19864,0.42684,0.33648,0.32845,0.19466,1.42129,2.092,1.20084,0.00105601,0.00105601,0.00105601
17,280.541,1.46151,1.82679,1.19419,0.39638,0.38424,0.33137,0.20023,1.41294,1.87021,1.19572,0.00105234,0.00105234,0.00105234
18,297.07,1.44094,1.78894,1.1915,0.39693,0.31599,0.29886,0.17742,1.44309,2.09774,1.2022,0.00104867,0.00104867,0.00104867
19,313.342,1.4752,1.73547,1.18394,0.45427,0.36508,0.35262,0.20521,1.42101,1.88916,1.2045,0.00104501,0.00104501,0.00104501
20,329.977,1.42875,1.69019,1.17619,0.38452,0.34391,0.3379,0.20459,1.41305,1.98387,1.20822,0.00104134,0.00104134,0.00104134
21,346.404,1.40546,1.73931,1.15367,0.44002,0.38901,0.36281,0.21996,1.43048,1.84917,1.20355,0.00103767,0.00103767,0.00103767
22,362.91,1.44486,1.66812,1.15998,0.38639,0.38444,0.34851,0.21036,1.42731,1.90877,1.21137,0.00103401,0.00103401,0.00103401
23,379.073,1.4142,1.64812,1.15517,0.50502,0.31014,0.35148,0.21765,1.40436,1.85542,1.19386,0.00103034,0.00103034,0.00103034
24,395.46,1.41688,1.67611,1.15807,0.53982,0.32768,0.36754,0.2176,1.39852,1.77731,1.17932,0.00102668,0.00102668,0.00102668
25,411.846,1.40306,1.60041,1.13609,0.57754,0.37064,0.40936,0.24717,1.38257,1.84212,1.17532,0.00102301,0.00102301,0.00102301
26,428.485,1.37732,1.57702,1.14931,0.48286,0.38749,0.39195,0.24683,1.39051,1.74991,1.19786,0.00101934,0.00101934,0.00101934
27,444.681,1.36016,1.48352,1.13036,0.38653,0.47093,0.39208,0.24019,1.42693,1.7218,1.20035,0.00101568,0.00101568,0.00101568
28,461.455,1.35512,1.51754,1.12272,0.48353,0.36792,0.37346,0.23377,1.36368,1.72971,1.16156,0.00101201,0.00101201,0.00101201
29,477.709,1.39916,1.5451,1.15102,0.44163,0.44323,0.41696,0.25516,1.37912,1.73426,1.17994,0.00100834,0.00100834,0.00100834
30,494.254,1.37176,1.57661,1.13916,0.42172,0.44153,0.40373,0.24883,1.39189,1.68855,1.17685,0.00100468,0.00100468,0.00100468
31,510.427,1.35292,1.49359,1.12922,0.48185,0.40129,0.38609,0.2355,1.35851,1.68418,1.17076,0.00100101,0.00100101,0.00100101
32,526.608,1.33254,1.41253,1.10941,0.46773,0.40024,0.39637,0.24077,1.37398,1.7158,1.18756,0.000997345,0.000997345,0.000997345
33,542.92,1.34026,1.41181,1.12102,0.49035,0.43463,0.41502,0.25735,1.35311,1.66289,1.17021,0.000993678,0.000993678,0.000993678
34,559.626,1.33151,1.38183,1.11684,0.45791,0.42892,0.41178,0.2536,1.35126,1.79592,1.18597,0.000990012,0.000990012,0.000990012
35,576.245,1.37732,1.42013,1.13184,0.41317,0.43732,0.37228,0.23287,1.35165,1.73591,1.16891,0.000986346,0.000986346,0.000986346
36,592.565,1.30409,1.42042,1.10551,0.47992,0.40757,0.40723,0.25142,1.3778,1.80344,1.16293,0.000982679,0.000982679,0.000982679
37,609.073,1.27156,1.35837,1.09596,0.58101,0.39378,0.42466,0.25138,1.37566,1.68438,1.17999,0.000979013,0.000979013,0.000979013
38,625.246,1.26111,1.33447,1.09113,0.47212,0.45552,0.42811,0.27119,1.34104,1.71757,1.16094,0.000975347,0.000975347,0.000975347
39,641.617,1.3316,1.38991,1.1022,0.42696,0.44051,0.39837,0.24553,1.39872,1.77341,1.19643,0.000971681,0.000971681,0.000971681
40,657.918,1.26477,1.3179,1.08585,0.49092,0.44841,0.43387,0.26244,1.39224,1.66466,1.16652,0.000968014,0.000968014,0.000968014
41,674.499,1.28729,1.32375,1.08644,0.45539,0.44158,0.42166,0.26541,1.35512,1.81585,1.17191,0.000964348,0.000964348,0.000964348
42,690.85,1.32147,1.28809,1.08476,0.48035,0.43205,0.39917,0.2477,1.36229,1.65448,1.16914,0.000960682,0.000960682,0.000960682
43,706.936,1.27929,1.23555,1.08194,0.49978,0.48972,0.43875,0.26412,1.34807,1.72111,1.17464,0.000957015,0.000957015,0.000957015
44,723.064,1.29806,1.29248,1.09591,0.51073,0.43756,0.41663,0.25006,1.34934,1.83726,1.16357,0.000953349,0.000953349,0.000953349
45,739.522,1.23913,1.26139,1.05448,0.46608,0.41833,0.38536,0.23954,1.36259,1.77205,1.16558,0.000949683,0.000949683,0.000949683
46,755.805,1.2383,1.21781,1.06841,0.48379,0.41527,0.39642,0.2419,1.37346,1.78622,1.1777,0.000946016,0.000946016,0.000946016
47,772.018,1.25936,1.26742,1.08039,0.54862,0.41513,0.40247,0.24819,1.35756,1.7597,1.15537,0.00094235,0.00094235,0.00094235
48,788.325,1.23168,1.18749,1.05735,0.5181,0.41558,0.42784,0.27023,1.34347,1.72439,1.16221,0.000938684,0.000938684,0.000938684
49,804.953,1.25681,1.17083,1.08437,0.52696,0.4647,0.44193,0.27564,1.31341,1.61393,1.15544,0.000935018,0.000935018,0.000935018
