epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7732,1.92507,3.98533,1.39132,0.07183,0.23886,0.06069,0.02979,1.80677,4.1341,1.3684,0.000330729,0.000330729,0.0672578
2,60.04,1.85705,3.12002,1.33627,0.09936,0.15802,0.07929,0.04136,1.77116,3.25211,1.26888,0.000661871,0.000661871,0.0342556
3,77.1628,1.90202,2.89591,1.36082,0.20289,0.20837,0.11851,0.06945,1.66551,2.61193,1.30976,0.000990813,0.000990813,0.00125123
4,94.2264,1.86836,2.84186,1.36364,0.16629,0.23298,0.11471,0.05989,1.68727,2.84764,1.28036,0.0009901,0.0009901,0.0009901
5,111.176,1.78812,2.65861,1.31478,0.18126,0.24471,0.14194,0.07154,1.65532,2.47337,1.24215,0.0009868,0.0009868,0.0009868
6,128.361,1.72448,2.56481,1.30577,0.18863,0.28142,0.16766,0.08763,1.66851,2.42609,1.2504,0.0009835,0.0009835,0.0009835
7,145.304,1.72115,2.51742,1.30339,0.21267,0.28536,0.18118,0.10533,1.58018,2.31212,1.23989,0.0009802,0.0009802,0.0009802
8,162.299,1.74101,2.4392,1.29493,0.21633,0.29568,0.19641,0.10602,1.62587,2.31978,1.27131,0.0009769,0.0009769,0.0009769
9,179.291,1.74369,2.37315,1.31527,0.29285,0.3252,0.21786,0.12018,1.64874,2.28935,1.27369,0.0009736,0.0009736,0.0009736
10,196.352,1.71639,2.36277,1.30612,0.26291,0.31148,0.21003,0.11342,1.66497,2.29237,1.29603,0.0009703,0.0009703,0.0009703
11,213.436,1.69338,2.29545,1.29552,0.33988,0.29636,0.21724,0.12623,1.59903,2.26967,1.25627,0.000967,0.000967,0.000967
12,230.347,1.69848,2.28281,1.2955,0.3594,0.33025,0.271,0.14343,1.58309,2.15958,1.24308,0.0009637,0.0009637,0.0009637
13,247.474,1.65932,2.23856,1.28603,0.29168,0.32803,0.24398,0.13317,1.53446,2.27439,1.21342,0.0009604,0.0009604,0.0009604
14,264.551,1.68654,2.24269,1.27294,0.3449,0.32081,0.26107,0.14974,1.53371,2.09536,1.22096,0.0009571,0.0009571,0.0009571
15,281.532,1.63291,2.18546,1.2802,0.32415,0.28231,0.23754,0.13537,1.55166,2.19546,1.23657,0.0009538,0.0009538,0.0009538
16,298.695,1.60279,2.21161,1.28057,0.3252,0.28093,0.24177,0.14082,1.55555,2.30007,1.25872,0.0009505,0.0009505,0.0009505
17,315.454,1.64358,2.1195,1.26571,0.35526,0.26813,0.25087,0.13944,1.59272,2.19703,1.24283,0.0009472,0.0009472,0.0009472
18,332.495,1.59694,2.14832,1.23823,0.36844,0.29846,0.2611,0.14712,1.517,2.16742,1.22449,0.0009439,0.0009439,0.0009439
19,349.624,1.61502,2.10759,1.25743,0.32676,0.32562,0.24821,0.14148,1.52718,2.2253,1.24297,0.0009406,0.0009406,0.0009406
20,366.686,1.61505,2.064,1.26676,0.39027,0.35158,0.30543,0.17187,1.54289,2.00926,1.24449,0.0009373,0.0009373,0.0009373
21,383.68,1.57474,2.05007,1.22367,0.35537,0.314,0.28645,0.1643,1.48659,1.96885,1.209,0.000934,0.000934,0.000934
22,400.93,1.58295,2.05273,1.20942,0.35143,0.35298,0.276,0.16754,1.4888,2.05101,1.21233,0.0009307,0.0009307,0.0009307
23,418.067,1.59093,2.00349,1.21024,0.46419,0.33277,0.32708,0.18619,1.50652,1.95556,1.204,0.0009274,0.0009274,0.0009274
24,434.985,1.61654,1.99022,1.23344,0.45424,0.33735,0.32094,0.18971,1.49568,2.13081,1.19114,0.0009241,0.0009241,0.0009241
25,452.037,1.54697,1.95464,1.23343,0.37723,0.38227,0.3203,0.18409,1.50418,1.93616,1.20528,0.0009208,0.0009208,0.0009208
26,469.367,1.54935,1.97187,1.20221,0.38359,0.3525,0.31939,0.18426,1.4471,1.94958,1.1692,0.0009175,0.0009175,0.0009175
27,486.367,1.50743,1.92193,1.19042,0.34521,0.39691,0.31573,0.18451,1.45458,1.97058,1.18942,0.0009142,0.0009142,0.0009142
28,503.345,1.53639,1.90925,1.21769,0.37916,0.37977,0.33309,0.19109,1.47475,1.95671,1.2058,0.0009109,0.0009109,0.0009109
29,520.359,1.53568,1.96332,1.20032,0.392,0.34552,0.3137,0.1835,1.49012,1.89319,1.18782,0.0009076,0.0009076,0.0009076
30,537.275,1.50769,1.90532,1.19999,0.41965,0.39504,0.34009,0.2013,1.47252,1.96275,1.19056,0.0009043,0.0009043,0.0009043
31,554.748,1.5193,1.84755,1.19165,0.42329,0.36968,0.33966,0.20025,1.45536,1.97955,1.19957,0.000901,0.000901,0.000901
32,571.876,1.50723,1.82591,1.17206,0.44205,0.39507,0.34672,0.19627,1.45998,1.8727,1.18134,0.0008977,0.0008977,0.0008977
33,588.727,1.49755,1.87177,1.17881,0.42093,0.39209,0.34453,0.1986,1.42733,1.91011,1.18347,0.0008944,0.0008944,0.0008944
34,606.019,1.46167,1.78386,1.1609,0.41776,0.37939,0.32562,0.19283,1.45204,1.90857,1.1931,0.0008911,0.0008911,0.0008911
35,623.043,1.51877,1.8469,1.16692,0.43336,0.42339,0.36254,0.21348,1.39749,1.85337,1.16219,0.0008878,0.0008878,0.0008878
36,640.159,1.51242,1.81578,1.1963,0.4331,0.37785,0.34488,0.19854,1.43847,1.82562,1.17961,0.0008845,0.0008845,0.0008845
37,657.283,1.49181,1.80277,1.18246,0.48508,0.36549,0.36137,0.21372,1.45071,1.83261,1.1814,0.0008812,0.0008812,0.0008812
38,674.464,1.48483,1.76523,1.16694,0.41833,0.39575,0.35864,0.2142,1.44117,1.8964,1.16973,0.0008779,0.0008779,0.0008779
39,691.503,1.47695,1.80771,1.17971,0.42067,0.35875,0.32915,0.20052,1.42243,1.88111,1.17733,0.0008746,0.0008746,0.0008746
40,708.784,1.48078,1.78692,1.18225,0.4371,0.3987,0.35478,0.20929,1.39231,1.79773,1.15138,0.0008713,0.0008713,0.0008713
41,725.679,1.47498,1.76863,1.1702,0.37514,0.38318,0.33219,0.2006,1.4632,1.86992,1.1699,0.000868,0.000868,0.000868
42,742.782,1.46441,1.68894,1.16465,0.4433,0.41364,0.36095,0.20122,1.47093,1.82992,1.18269,0.0008647,0.0008647,0.0008647
43,759.807,1.47906,1.73397,1.1745,0.48448,0.35325,0.32381,0.18351,1.49429,1.90194,1.18663,0.0008614,0.0008614,0.0008614
44,777.03,1.42732,1.68343,1.15369,0.39285,0.42471,0.35908,0.21359,1.40915,1.85991,1.15682,0.0008581,0.0008581,0.0008581
45,793.87,1.4795,1.71608,1.17341,0.50595,0.34819,0.35409,0.21083,1.42229,1.86422,1.16651,0.0008548,0.0008548,0.0008548
46,810.99,1.42907,1.66121,1.14447,0.53278,0.37175,0.39743,0.22607,1.45605,1.87122,1.17106,0.0008515,0.0008515,0.0008515
47,827.963,1.4651,1.6359,1.13501,0.44653,0.40088,0.37181,0.22297,1.42469,1.82781,1.15443,0.0008482,0.0008482,0.0008482
48,845.035,1.42464,1.63167,1.12626,0.50175,0.33045,0.3448,0.20969,1.41855,1.84962,1.1541,0.0008449,0.0008449,0.0008449
49,861.954,1.4078,1.60421,1.13368,0.45931,0.39817,0.36272,0.21303,1.41273,1.8048,1.16,0.0008416,0.0008416,0.0008416
50,879.037,1.44519,1.62098,1.14131,0.51413,0.36797,0.35788,0.20991,1.43956,1.83591,1.17696,0.0008383,0.0008383,0.0008383
51,895.973,1.42416,1.60679,1.16063,0.51237,0.34876,0.3776,0.2301,1.42629,1.71704,1.15094,0.000835,0.000835,0.000835
52,912.904,1.40826,1.57417,1.13809,0.42727,0.43809,0.37717,0.21732,1.43932,1.85499,1.16352,0.0008317,0.0008317,0.0008317
53,930.085,1.3928,1.57445,1.12401,0.45725,0.39391,0.37151,0.21616,1.42193,1.74501,1.16431,0.0008284,0.0008284,0.0008284
