epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9001,1.78868,5.35814,1.25814,0.00492,0.27338,0.03934,0.0208,1.44566,4.57449,1.04377,0.000364547,0.000364547,0.000364547
2,33.3978,1.77432,4.18066,1.21657,0.20967,0.22966,0.13449,0.0742,1.63208,3.13071,1.18023,0.000732455,0.000732455,0.000732455
3,49.9398,1.7592,3.59501,1.22069,0.2736,0.23312,0.14852,0.08,1.59527,2.58528,1.17745,0.00109792,0.00109792,0.00109792
4,66.5227,1.72332,3.24682,1.24335,0.22052,0.25155,0.16267,0.09219,1.57398,2.71345,1.20917,0.0011,0.0011,0.0011
5,83.2927,1.76749,3.02441,1.24135,0.28889,0.30348,0.19426,0.10285,1.65058,2.5714,1.20821,0.00109633,0.00109633,0.00109633
6,99.6458,1.68529,2.73821,1.23145,0.24247,0.21374,0.15375,0.0782,1.62339,2.56869,1.19471,0.00109267,0.00109267,0.00109267
7,115.873,1.70138,2.62701,1.2352,0.38904,0.27011,0.23818,0.13203,1.5664,2.28865,1.2153,0.001089,0.001089,0.001089
8,132.43,1.66469,2.49716,1.22613,0.32333,0.27553,0.22956,0.13382,1.54191,2.23065,1.18701,0.00108534,0.00108534,0.00108534
9,148.983,1.68744,2.35943,1.20014,0.35109,0.28917,0.2402,0.1352,1.54127,2.34932,1.1559,0.00108167,0.00108167,0.00108167
10,165.266,1.61685,2.27331,1.19374,0.31934,0.29799,0.21529,0.12119,1.53674,2.28895,1.17833,0.001078,0.001078,0.001078
11,182.006,1.59768,2.20005,1.19601,0.41055,0.3172,0.2844,0.16473,1.55687,2.20288,1.20721,0.00107434,0.00107434,0.00107434
12,198.749,1.62416,2.13605,1.20639,0.41794,0.32883,0.28669,0.16774,1.52392,2.16029,1.16768,0.00107067,0.00107067,0.00107067
13,215.688,1.5784,2.11178,1.19556,0.3111,0.33997,0.27388,0.15788,1.51686,2.03809,1.16891,0.001067,0.001067,0.001067
14,232.103,1.58649,2.00049,1.17347,0.4087,0.34422,0.30467,0.17567,1.47194,2.03184,1.13751,0.00106334,0.00106334,0.00106334
15,248.687,1.53612,1.99129,1.16043,0.3903,0.26387,0.24343,0.13925,1.52236,2.43479,1.16027,0.00105967,0.00105967,0.00105967
16,265.498,1.58988,2.05143,1.17143,0.33602,0.29485,0.23604,0.129,1.55648,2.92286,1.17318,0.00105601,0.00105601,0.00105601
17,282.033,1.52896,1.92919,1.16495,0.34779,0.36809,0.30622,0.17675,1.46966,1.99713,1.14962,0.00105234,0.00105234,0.00105234
18,298.321,1.53315,1.85226,1.14306,0.50637,0.29383,0.3211,0.18681,1.51687,2.06292,1.13427,0.00104867,0.00104867,0.00104867
19,314.537,1.5367,1.8954,1.15536,0.34319,0.40883,0.30967,0.1799,1.51941,2.06296,1.13998,0.00104501,0.00104501,0.00104501
20,330.834,1.5096,1.80048,1.14547,0.3934,0.34078,0.3051,0.17394,1.46732,2.04256,1.13173,0.00104134,0.00104134,0.00104134
21,347.803,1.50299,1.7873,1.15968,0.42813,0.34557,0.28558,0.15909,1.57933,2.24769,1.16736,0.00103767,0.00103767,0.00103767
22,364.033,1.50971,1.86336,1.14447,0.42878,0.32109,0.30751,0.18207,1.47451,2.16495,1.16672,0.00103401,0.00103401,0.00103401
23,380.83,1.50645,1.81273,1.12804,0.44109,0.36172,0.33982,0.20573,1.42316,2.05586,1.13716,0.00103034,0.00103034,0.00103034
24,397.161,1.47284,1.76268,1.1435,0.47038,0.36094,0.34009,0.20323,1.49886,1.94758,1.16276,0.00102668,0.00102668,0.00102668
25,413.853,1.45852,1.67939,1.11474,0.44851,0.37341,0.35933,0.21496,1.47681,1.91371,1.15008,0.00102301,0.00102301,0.00102301
26,430.231,1.43894,1.67776,1.11864,0.45365,0.34053,0.33771,0.20521,1.46668,2.1438,1.14135,0.00101934,0.00101934,0.00101934
27,447.065,1.50832,1.7204,1.12942,0.48397,0.3392,0.32965,0.19502,1.457,2.04181,1.12562,0.00101568,0.00101568,0.00101568
28,463.542,1.45993,1.6578,1.12746,0.42142,0.37899,0.33925,0.20222,1.41695,1.92608,1.12587,0.00101201,0.00101201,0.00101201
29,480.064,1.44422,1.63136,1.11361,0.45693,0.33816,0.33881,0.19164,1.4624,1.98297,1.13101,0.00100834,0.00100834,0.00100834
30,497.101,1.4354,1.61061,1.12174,0.46541,0.36339,0.35771,0.2044,1.48038,1.92155,1.16409,0.00100468,0.00100468,0.00100468
31,513.445,1.43457,1.56291,1.09565,0.39435,0.39204,0.33876,0.19516,1.50128,2.05472,1.14694,0.00100101,0.00100101,0.00100101
32,529.87,1.4131,1.56156,1.09554,0.46998,0.34829,0.32916,0.19664,1.43278,1.99074,1.13343,0.000997345,0.000997345,0.000997345
33,546.335,1.40189,1.5436,1.10806,0.34015,0.36578,0.28919,0.16431,1.48816,2.21632,1.16988,0.000993678,0.000993678,0.000993678
34,562.566,1.43718,1.55124,1.10193,0.48982,0.39399,0.36383,0.21508,1.44291,1.88713,1.14515,0.000990012,0.000990012,0.000990012
35,579.205,1.40948,1.49221,1.08939,0.47303,0.34092,0.32889,0.19917,1.44095,2.00754,1.11681,0.000986346,0.000986346,0.000986346
36,595.987,1.41147,1.43898,1.08655,0.42802,0.40412,0.38312,0.22461,1.4291,1.79244,1.12356,0.000982679,0.000982679,0.000982679
37,612.886,1.40878,1.48624,1.0862,0.45766,0.39328,0.37142,0.22377,1.41013,1.85115,1.10872,0.000979013,0.000979013,0.000979013
38,629.493,1.40348,1.43162,1.08241,0.46763,0.37799,0.35614,0.199,1.52052,1.92219,1.14841,0.000975347,0.000975347,0.000975347
39,646.358,1.38929,1.45209,1.07482,0.51863,0.39655,0.38871,0.23787,1.42722,1.82733,1.11211,0.000971681,0.000971681,0.000971681
40,663.334,1.40506,1.43648,1.06185,0.45213,0.33784,0.33261,0.19455,1.50048,2.12904,1.12796,0.000968014,0.000968014,0.000968014
