epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.9916,1.59663,4.81633,1.2042,0.3094,0.24524,0.20645,0.11325,1.59201,2.39835,1.20603,0.00036744,0.00036744,0.00036744
2,60.5225,1.74227,2.84557,1.25797,0.1771,0.24455,0.14458,0.07753,1.63045,3.29164,1.25394,0.000735339,0.000735339,0.000735339
3,78.8647,1.79641,2.65296,1.34058,0.07613,0.14692,0.04455,0.02514,1.67773,59.6928,1.29922,0.00110079,0.00110079,0.00110079
4,96.8321,1.81875,2.67562,1.3397,0.3365,0.28932,0.21273,0.11822,1.66554,2.69356,1.33363,0.0011,0.0011,0.0011
5,115.019,1.75886,2.42702,1.31165,0.34526,0.28933,0.24016,0.13103,1.72459,2.3534,1.31937,0.00109633,0.00109633,0.00109633
6,133.141,1.74243,2.38379,1.33896,0.24605,0.25423,0.19722,0.1089,1.64747,2.57613,1.31241,0.00109267,0.00109267,0.00109267
7,150.986,1.71487,2.36518,1.31414,0.20396,0.28497,0.17703,0.10014,1.59819,2.40742,1.30286,0.001089,0.001089,0.001089
8,168.765,1.68506,2.27309,1.2814,0.26036,0.34629,0.24736,0.13518,1.6348,2.16078,1.29855,0.00108534,0.00108534,0.00108534
9,186.932,1.68417,2.19171,1.29087,0.29826,0.28618,0.24401,0.13947,1.60667,2.1169,1.28483,0.00108167,0.00108167,0.00108167
10,204.971,1.66412,2.21919,1.29439,0.32524,0.29616,0.23659,0.12916,1.60821,2.16829,1.26543,0.001078,0.001078,0.001078
11,222.973,1.61901,2.13438,1.26181,0.37692,0.3401,0.28489,0.16745,1.52152,2.20812,1.21918,0.00107434,0.00107434,0.00107434
12,240.993,1.6293,2.0987,1.27085,0.38681,0.34537,0.2905,0.16233,1.58325,2.05707,1.24865,0.00107067,0.00107067,0.00107067
13,258.971,1.62394,2.06889,1.27501,0.35379,0.34183,0.28172,0.16724,1.49713,1.98071,1.20206,0.001067,0.001067,0.001067
14,276.927,1.61768,2.05579,1.26449,0.44292,0.26793,0.27634,0.15153,1.62469,2.31455,1.23962,0.00106334,0.00106334,0.00106334
15,294.694,1.55805,1.95569,1.24723,0.36676,0.34596,0.30142,0.17645,1.49246,2.02916,1.22944,0.00105967,0.00105967,0.00105967
16,312.843,1.55432,1.97548,1.25617,0.39144,0.35424,0.30506,0.17673,1.51827,1.93792,1.22095,0.00105601,0.00105601,0.00105601
17,331.032,1.58189,1.9343,1.24046,0.40726,0.33788,0.31028,0.17843,1.51714,1.89222,1.21778,0.00105234,0.00105234,0.00105234
18,349.149,1.52305,1.91188,1.22416,0.39511,0.38353,0.32587,0.18723,1.47845,1.92565,1.19292,0.00104867,0.00104867,0.00104867
19,367.306,1.54763,1.90586,1.2235,0.35492,0.37445,0.31895,0.19429,1.47063,1.9693,1.19291,0.00104501,0.00104501,0.00104501
20,385.251,1.53321,1.84254,1.21436,0.43341,0.39765,0.35361,0.20924,1.48999,1.85176,1.21821,0.00104134,0.00104134,0.00104134
21,403.463,1.48285,1.83919,1.19376,0.40688,0.33321,0.31539,0.18906,1.46307,2.07274,1.20377,0.00103767,0.00103767,0.00103767
22,421.302,1.50926,1.83088,1.19574,0.44545,0.34163,0.34683,0.20766,1.46922,1.88879,1.19867,0.00103401,0.00103401,0.00103401
23,439.35,1.49975,1.80858,1.17681,0.42266,0.37324,0.35014,0.20594,1.45936,2.08119,1.20277,0.00103034,0.00103034,0.00103034
24,457.095,1.49291,1.75312,1.19852,0.446,0.35579,0.36228,0.20965,1.49863,1.79646,1.22218,0.00102668,0.00102668,0.00102668
25,475.099,1.47119,1.6975,1.21012,0.4396,0.39005,0.36309,0.21583,1.44371,1.80161,1.18964,0.00102301,0.00102301,0.00102301
26,493.305,1.45113,1.72721,1.16764,0.41014,0.39913,0.33359,0.19459,1.48457,1.89347,1.21786,0.00101934,0.00101934,0.00101934
27,511.232,1.41859,1.70362,1.15408,0.46877,0.41062,0.38174,0.22516,1.46298,1.8826,1.22195,0.00101568,0.00101568,0.00101568
28,529.486,1.45116,1.6988,1.18185,0.40977,0.4078,0.36184,0.21851,1.4217,1.86359,1.17218,0.00101201,0.00101201,0.00101201
29,547.377,1.41456,1.70592,1.16304,0.4063,0.38341,0.33315,0.2035,1.4185,1.85117,1.16843,0.00100834,0.00100834,0.00100834
30,565.06,1.41702,1.67273,1.17339,0.42817,0.41349,0.36801,0.22235,1.42836,1.80734,1.19056,0.00100468,0.00100468,0.00100468
31,583.176,1.42862,1.60483,1.15921,0.37175,0.38647,0.32953,0.19567,1.45775,1.88089,1.20065,0.00100101,0.00100101,0.00100101
32,601.166,1.41549,1.64035,1.13866,0.43255,0.38654,0.35033,0.19759,1.46933,1.8385,1.18363,0.000997345,0.000997345,0.000997345
33,619.023,1.40666,1.6155,1.15552,0.47364,0.38025,0.37184,0.22687,1.4268,1.74557,1.19093,0.000993678,0.000993678,0.000993678
34,637.222,1.35357,1.51342,1.11365,0.49135,0.37031,0.36803,0.21744,1.45789,1.81698,1.18973,0.000990012,0.000990012,0.000990012
35,655.1,1.41051,1.58775,1.14587,0.42248,0.37841,0.34844,0.2157,1.40785,1.85689,1.1906,0.000986346,0.000986346,0.000986346
36,672.931,1.39713,1.56642,1.14554,0.45339,0.40463,0.38638,0.23604,1.38719,1.74471,1.16655,0.000982679,0.000982679,0.000982679
37,691.2,1.41027,1.57423,1.16038,0.41313,0.42329,0.37996,0.23193,1.38302,1.77698,1.14567,0.000979013,0.000979013,0.000979013
38,709.038,1.38822,1.48852,1.12359,0.54371,0.38756,0.39305,0.2356,1.44024,1.74083,1.17044,0.000975347,0.000975347,0.000975347
39,726.857,1.36215,1.49421,1.13387,0.49608,0.4215,0.39984,0.23848,1.42535,1.76976,1.1775,0.000971681,0.000971681,0.000971681
40,745.236,1.36426,1.50848,1.13055,0.4852,0.40471,0.4033,0.23257,1.39792,1.7736,1.15724,0.000968014,0.000968014,0.000968014
41,763.275,1.35938,1.53205,1.14153,0.42335,0.43699,0.39305,0.23816,1.41726,1.70558,1.16926,0.000964348,0.000964348,0.000964348
