epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.3382,1.6222,4.59505,1.22385,0.2568,0.20152,0.14458,0.07895,1.58487,2.87346,1.19083,0.00036744,0.00036744,0.00036744
2,36.4911,1.65428,2.73129,1.23928,0.26291,0.20417,0.15894,0.08897,1.59634,2.56962,1.22027,0.000735339,0.000735339,0.000735339
3,54.6603,1.70034,2.60893,1.28408,0.29931,0.28787,0.19758,0.10236,1.70113,2.64345,1.34501,0.00110079,0.00110079,0.00110079
4,72.8524,1.76716,2.59141,1.31354,0.28246,0.25498,0.17738,0.09738,1.64984,2.81944,1.31586,0.0011,0.0011,0.0011
5,90.5163,1.7257,2.43033,1.31159,0.2402,0.30397,0.18868,0.10218,1.62615,2.92167,1.27515,0.00109633,0.00109633,0.00109633
6,108.249,1.66362,2.36886,1.28652,0.3524,0.29428,0.22955,0.13254,1.57579,2.38484,1.24609,0.00109267,0.00109267,0.00109267
7,126.352,1.64236,2.2676,1.28235,0.36354,0.23423,0.22651,0.13707,1.54448,2.91876,1.24311,0.001089,0.001089,0.001089
8,144.319,1.63581,2.2276,1.25824,0.31342,0.30256,0.24773,0.14659,1.55359,2.27026,1.21836,0.00108534,0.00108534,0.00108534
9,162.559,1.63316,2.15468,1.24551,0.38088,0.36053,0.29056,0.16817,1.49477,2.13576,1.21217,0.00108167,0.00108167,0.00108167
10,180.541,1.59455,2.12565,1.26396,0.39066,0.30945,0.26079,0.15267,1.50295,2.42137,1.23143,0.001078,0.001078,0.001078
11,198.217,1.54972,2.04696,1.24048,0.37892,0.3484,0.30826,0.17183,1.55142,2.03555,1.24199,0.00107434,0.00107434,0.00107434
12,216.135,1.56497,2.01379,1.25103,0.35882,0.34668,0.30014,0.17439,1.52261,1.96574,1.23852,0.00107067,0.00107067,0.00107067
