epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.0305,1.72095,3.76095,1.25996,0.34757,0.20492,0.13382,0.07555,1.58615,2.78521,1.22872,0.000330729,0.000330729,0.0672578
2,60.4134,1.75255,2.75401,1.28935,0.2873,0.22307,0.15202,0.0833,1.72023,4.12802,1.30866,0.000661871,0.000661871,0.0342556
3,78.6478,1.7492,2.58292,1.297,0.32357,0.27131,0.20824,0.11866,1.59715,2.38261,1.23554,0.000990813,0.000990813,0.00125123
4,96.843,1.76692,2.47745,1.28552,0.2719,0.26489,0.17699,0.0984,1.65107,2.52585,1.26675,0.0009901,0.0009901,0.0009901
5,114.573,1.73931,2.39546,1.29977,0.24825,0.25494,0.21072,0.11571,1.59055,2.46897,1.25253,0.0009868,0.0009868,0.0009868
6,132.495,1.66785,2.32931,1.28534,0.27648,0.31963,0.20846,0.10968,1.57935,3.17938,1.23699,0.0009835,0.0009835,0.0009835
7,150.619,1.64922,2.32183,1.27329,0.40037,0.22532,0.19164,0.11599,1.55734,4.01171,1.22862,0.0009802,0.0009802,0.0009802
8,168.272,1.63294,2.20828,1.24962,0.31123,0.3192,0.24743,0.13504,1.57858,2.37222,1.23816,0.0009769,0.0009769,0.0009769
9,186.525,1.65549,2.15473,1.25886,0.38065,0.31057,0.28146,0.15886,1.56078,2.10046,1.23788,0.0009736,0.0009736,0.0009736
10,204.523,1.63295,2.11302,1.27119,0.41882,0.32921,0.28025,0.15335,1.58303,2.12053,1.25129,0.0009703,0.0009703,0.0009703
11,222.216,1.5923,2.0795,1.2406,0.35603,0.32062,0.25964,0.13644,1.57411,2.2027,1.21047,0.000967,0.000967,0.000967
12,239.961,1.61719,2.14224,1.24531,0.42985,0.32906,0.31139,0.18242,1.49756,1.97631,1.18892,0.0009637,0.0009637,0.0009637
13,258.331,1.5799,2.08387,1.2423,0.2772,0.38504,0.26019,0.14793,1.47952,2.29875,1.20216,0.0009604,0.0009604,0.0009604
14,276.095,1.58504,2.028,1.23066,0.34589,0.32182,0.27585,0.1581,1.52499,2.13663,1.1762,0.0009571,0.0009571,0.0009571
15,293.858,1.52985,1.95311,1.21595,0.3146,0.39378,0.30213,0.17363,1.43971,2.01888,1.19223,0.0009538,0.0009538,0.0009538
16,311.847,1.51722,1.99782,1.22829,0.38696,0.39781,0.29803,0.17903,1.44241,2.27589,1.18192,0.0009505,0.0009505,0.0009505
17,329.445,1.55451,1.92193,1.2173,0.42329,0.395,0.33577,0.18883,1.50039,1.93682,1.21241,0.0009472,0.0009472,0.0009472
18,347.789,1.49859,1.89352,1.20651,0.43356,0.37448,0.35398,0.21209,1.43758,1.99354,1.1701,0.0009439,0.0009439,0.0009439
19,365.969,1.51667,1.8848,1.20057,0.42341,0.39487,0.33764,0.18708,1.47882,1.9722,1.19838,0.0009406,0.0009406,0.0009406
20,383.637,1.50951,1.80732,1.20524,0.44693,0.39198,0.34395,0.20226,1.46042,1.86969,1.19128,0.0009373,0.0009373,0.0009373
21,401.406,1.4693,1.77854,1.18409,0.41623,0.34483,0.33159,0.19049,1.49715,2.16582,1.21572,0.000934,0.000934,0.000934
22,419.367,1.49664,1.81072,1.18332,0.41916,0.39644,0.35446,0.21022,1.44863,1.89804,1.18013,0.0009307,0.0009307,0.0009307
23,437.219,1.49737,1.77963,1.17085,0.43681,0.33944,0.33917,0.18902,1.52484,1.91992,1.20712,0.0009274,0.0009274,0.0009274
24,455.116,1.51116,1.7424,1.1889,0.37666,0.41128,0.36143,0.21668,1.3791,1.85794,1.14431,0.0009241,0.0009241,0.0009241
25,473.467,1.46321,1.71851,1.19135,0.46547,0.37532,0.35133,0.19937,1.44684,1.91565,1.19706,0.0009208,0.0009208,0.0009208
26,491.478,1.44664,1.74586,1.16767,0.46053,0.3969,0.37972,0.23176,1.4193,1.81986,1.18507,0.0009175,0.0009175,0.0009175
27,509.7,1.39284,1.67121,1.14532,0.48311,0.37888,0.36269,0.2155,1.39317,1.92538,1.16793,0.0009142,0.0009142,0.0009142
28,527.486,1.42362,1.69966,1.16966,0.41162,0.40745,0.3769,0.23278,1.39377,1.8042,1.16436,0.0009109,0.0009109,0.0009109
29,545.569,1.42423,1.69898,1.16,0.38011,0.40786,0.33131,0.19683,1.41278,1.90345,1.16246,0.0009076,0.0009076,0.0009076
30,563.306,1.41875,1.68888,1.16783,0.46615,0.36712,0.36351,0.21447,1.40228,1.74858,1.17092,0.0009043,0.0009043,0.0009043
31,581.488,1.41429,1.61973,1.14666,0.49483,0.37058,0.38672,0.23967,1.38224,1.86637,1.14733,0.000901,0.000901,0.000901
32,599.848,1.41173,1.61721,1.13953,0.44047,0.33187,0.32686,0.19633,1.4266,1.95092,1.15745,0.0008977,0.0008977,0.0008977
33,617.707,1.40755,1.62799,1.14217,0.42992,0.38542,0.39411,0.23952,1.35223,1.75762,1.13323,0.0008944,0.0008944,0.0008944
34,635.609,1.36164,1.55235,1.11431,0.41849,0.44835,0.37113,0.2185,1.41489,1.82413,1.15491,0.0008911,0.0008911,0.0008911
35,653.167,1.41512,1.59503,1.13519,0.46242,0.44067,0.37703,0.23018,1.37491,1.72634,1.14238,0.0008878,0.0008878,0.0008878
36,670.907,1.40662,1.58434,1.14299,0.42365,0.43959,0.38112,0.22492,1.39808,1.81009,1.15991,0.0008845,0.0008845,0.0008845
37,688.833,1.3923,1.54204,1.14547,0.51586,0.4125,0.42689,0.25937,1.38172,1.69131,1.15689,0.0008812,0.0008812,0.0008812
38,707.081,1.37668,1.51054,1.10951,0.42983,0.37716,0.37073,0.22279,1.41913,1.7893,1.14799,0.0008779,0.0008779,0.0008779
39,724.938,1.38527,1.59814,1.14438,0.52796,0.42511,0.41206,0.25722,1.33704,1.65474,1.12806,0.0008746,0.0008746,0.0008746
40,742.838,1.36975,1.52863,1.13824,0.46706,0.47663,0.41896,0.2487,1.36819,1.65685,1.14671,0.0008713,0.0008713,0.0008713
41,760.628,1.36216,1.53041,1.13484,0.46574,0.48351,0.42309,0.25218,1.35183,1.708,1.12076,0.000868,0.000868,0.000868
42,778.627,1.34524,1.46838,1.11432,0.44981,0.44129,0.41227,0.25409,1.35843,1.74672,1.12611,0.0008647,0.0008647,0.0008647
43,796.482,1.34396,1.45792,1.11888,0.40444,0.43785,0.39457,0.23068,1.41153,1.74195,1.16483,0.0008614,0.0008614,0.0008614
44,814.733,1.30747,1.42936,1.09525,0.38931,0.44825,0.38233,0.2263,1.40429,1.73121,1.16583,0.0008581,0.0008581,0.0008581
45,832.355,1.34775,1.46043,1.12609,0.47723,0.42818,0.40622,0.24671,1.36715,1.74675,1.13449,0.0008548,0.0008548,0.0008548
46,850.154,1.30727,1.39393,1.09258,0.57575,0.42116,0.4345,0.25679,1.40509,1.71141,1.16207,0.0008515,0.0008515,0.0008515
47,867.88,1.34196,1.43997,1.09254,0.51816,0.45464,0.41624,0.24139,1.3941,1.68522,1.14753,0.0008482,0.0008482,0.0008482
48,885.643,1.31497,1.40732,1.07982,0.46936,0.48626,0.41162,0.24113,1.38608,1.73158,1.13572,0.0008449,0.0008449,0.0008449
49,903.586,1.28559,1.33117,1.07741,0.52448,0.4569,0.43262,0.25453,1.40126,1.69132,1.15422,0.0008416,0.0008416,0.0008416
50,921.77,1.32964,1.38836,1.08919,0.47278,0.41745,0.36819,0.22479,1.33027,1.78288,1.12218,0.0008383,0.0008383,0.0008383
51,939.588,1.29017,1.36514,1.11194,0.52796,0.41697,0.41362,0.24755,1.3636,1.73338,1.13504,0.000835,0.000835,0.000835
52,957.268,1.29763,1.34312,1.09472,0.42882,0.47271,0.40767,0.25501,1.32594,1.70833,1.12159,0.0008317,0.0008317,0.0008317
53,975.052,1.28705,1.36415,1.08482,0.53291,0.39602,0.41544,0.25304,1.3906,1.70495,1.13403,0.0008284,0.0008284,0.0008284
54,992.91,1.3034,1.36604,1.08441,0.50748,0.4712,0.43771,0.27073,1.35431,1.68182,1.13627,0.0008251,0.0008251,0.0008251
55,1011.09,1.26929,1.33178,1.07395,0.50143,0.45993,0.42743,0.26245,1.33715,1.66383,1.1127,0.0008218,0.0008218,0.0008218
56,1028.91,1.27636,1.29102,1.0749,0.524,0.41623,0.41572,0.25246,1.35893,1.66748,1.1183,0.0008185,0.0008185,0.0008185
57,1046.78,1.3037,1.32684,1.09477,0.4978,0.47292,0.42677,0.25274,1.37788,1.68249,1.14297,0.0008152,0.0008152,0.0008152
58,1064.68,1.22304,1.25789,1.07051,0.48301,0.43467,0.39795,0.25025,1.35954,1.74689,1.15121,0.0008119,0.0008119,0.0008119
59,1082.49,1.27216,1.28963,1.07845,0.52923,0.45807,0.4422,0.25828,1.38706,1.70503,1.14677,0.0008086,0.0008086,0.0008086
60,1100.43,1.29256,1.32957,1.09141,0.4651,0.48321,0.40158,0.24221,1.37353,1.73054,1.13826,0.0008053,0.0008053,0.0008053
61,1118.44,1.24205,1.21454,1.05183,0.45958,0.44948,0.39083,0.24353,1.36069,1.78421,1.13524,0.000802,0.000802,0.000802
62,1136.2,1.24886,1.20782,1.05587,0.47883,0.4523,0.4334,0.27024,1.34908,1.6108,1.12558,0.0007987,0.0007987,0.0007987
63,1154.13,1.23066,1.23875,1.06058,0.50344,0.46695,0.43341,0.25943,1.37063,1.73584,1.13776,0.0007954,0.0007954,0.0007954
64,1172.22,1.25893,1.28269,1.08896,0.49279,0.46322,0.42963,0.2595,1.36151,1.70908,1.13524,0.0007921,0.0007921,0.0007921
65,1190.14,1.23119,1.24107,1.0527,0.45664,0.47873,0.424,0.26826,1.30361,1.62828,1.10291,0.0007888,0.0007888,0.0007888
66,1208.13,1.25119,1.23174,1.08379,0.53063,0.46528,0.44164,0.26814,1.34081,1.64723,1.12903,0.0007855,0.0007855,0.0007855
67,1226.39,1.22407,1.20492,1.05448,0.52839,0.45111,0.45929,0.28547,1.34634,1.62029,1.13345,0.0007822,0.0007822,0.0007822
68,1244.76,1.19998,1.15677,1.04738,0.5285,0.48699,0.45832,0.27422,1.37718,1.57608,1.14714,0.0007789,0.0007789,0.0007789
